序号	分类目	昆虫名称	共生体分类属	共生体名称	功能
RISB1143	Hymenoptera	Temnothorax rugatulus	None	gut bacteria	None
RISB1144	Hemiptera	Bemisia tabaci	Rickettsia	Rickettsia RITBT	RITBT slightly increased the efficiency of Bemisia tabaci in transmitting crimp virus
RISB1145	Coleoptera	Tenebrio molitor	Aeromonas	Aeromonas sp. TM1	degrading plastics
RISB1146	Coleoptera	Zophobas morio	Aeromonas	Aeromonas sp. TM1	degrading plastics
RISB1147	Coleoptera	Plodia interpunctella	Bacillus	Bacillus sp. YP1	damaged polyethylene (PE) films
RISB1148	Coleoptera	Tenebrio molitor	Citrobacter	Citrobacter	degrading plastics
RISB1149	Coleoptera	Lepidiota mansueta	Citrobacter	Citrobacter	degrading lignocellulose
RISB1150	Coleoptera	Plodia interpunctella	Enterobacter	Enterobacter asburiae YT1	damaged polyethylene (PE) films
RISB1151	Lepidoptera	Spodoptera littoralis	Enterococcus	Enterococcus mundtii	producing an antimicrobial peptide
RISB1152	Coleoptera	Tenebrio molitor	Exiguobacterium	Exiguobacterium sp. YT2	degrading plastics
RISB1153	Coleoptera	Tenebrio molitor	Klebsiella	Klebsiella pneumoniae ZM1	degrading plastics
RISB1154	Coleoptera	Zophobas morio	Klebsiella	Klebsiella pneumoniae ZM1	degrading plastics
RISB1155	Coleoptera	Tenebrio molitor	Kosakonia	Kosakonia	degrading plastics
RISB1156	Coleoptera	Nicrophorus concolor	Mycobacterium	Mycobacterium	produces Antimicrobial compounds
RISB1157	Coleoptera	Tenebrio molitor	Rhodococcus	Rhodococcus ruber	degrading plastics
RISB1158	Coleoptera	Nicrophorus vespilloides	Serratia	Serratia marcescens	produces an antibacterial cyclic lipopeptide called serrawettin W2
RISB1159	Hemiptera	Aphis gossypii	Buchnera	Buchnera aphidicola	increased density of endosymbiotic Buchnera related to pesticide resistance in yellow morph of melon aphid
RISB1160	Neuroptera	Chrysoperla carnea	Rickettsia	Rickettsia	Co-infections with Rickettsia and Sodalis caused an even higher decrease of reproductive success than single Sodalis infections
RISB1161	Neuroptera	Chrysoperla carnea	Sodalis	Sodalis	reducing reproductive output in comparison to uninfected lacewings
RISB1162	Diptera	Bactrocera dorsalis	Citrobacter	Citrobacter freundii strain BD1	Promote the growth of larvae
RISB1163	Diptera	Bactrocera dorsalis	Enterobacter	Enterobacter mori strain BD2	Promote the growth of larvae
RISB1164	Diptera	Bactrocera dorsalis	Enterobacter	Enterobacter cloacae strain BD3	Promote the growth of larvae
RISB1165	Diptera	Bactrocera dorsalis	Enterobacter	Enterobacter asburiae strain BD12	Promote the growth of larvae
RISB1166	Diptera	Bactrocera dorsalis	Klebsiella	Klebsiella oxytoca strain BD4	Promote the growth of larvae
RISB1167	Diptera	Bactrocera dorsalis	Lactococcus	Lactococcus lactis strain BD5	Promote the growth of larvae
RISB1168	Diptera	Bactrocera dorsalis	Providencia	Providencia alcalifaciens strain BD1None	Promote the growth of larvae
RISB1169	Diptera	Bactrocera dorsalis	Providencia	Providencia rettgeri strain BD11	Promote the growth of larvae
RISB1170	Diptera	Aedes aegypti	Zancudomyces	Zancudomyces culisetae	fungal colonization reduced microbial community variation across individuals and differentially impacted the outcomes of transstadial transmission for certain bacterial genera
RISB1171	Hemiptera	Nephotettix cincticeps	Candidatus Nasuia	Candidatus Nasuia deltocephalinicola	Nasuia can carry Vgs into oocytes and impair insect egg development
RISB1172	Coleoptera	Lagria villosa	Burkholderia	Burkholderia gladioli	process a cryptic gene cluster that codes for the biosynthesis of a novel antifungal polyketide with a glutarimide pharmacophore, which led to the discovery of the gladiofungins as previously-overlooked components of the antimicrobial armory of the beetle symbiont
RISB1173	Diptera	Melophagus ovinus	Arsenophonus	Arsenophonus melophagi	participation of symbionts on blood-digestion
RISB1174	Hemiptera	Bemisia tabaci	Arsenophonus	Arsenophonus	drive sex ratio in the whitefly by facilitating fertilization and provisioning of B vitamins
RISB1175	Hemiptera	Trialeurodes vaporariorum	Arsenophonus	Arsenophonus	drive sex ratio in the whitefly by facilitating fertilization and provisioning of B vitamins
RISB1176	Hemiptera	Bemisia tabaci	Candidatus Hamiltonella	Hamiltonella	drive sex ratio in the whitefly by facilitating fertilization and provisioning of B vitamins
RISB1177	Hemiptera	Trialeurodes vaporariorum	Candidatus Hamiltonella	Hamiltonella	drive sex ratio in the whitefly by facilitating fertilization and provisioning of B vitamins
RISB1178	Hemiptera	Bemisia tabaci	Portiera	Portiera	drive sex ratio in the whitefly by facilitating fertilization and provisioning of B vitamins
RISB1179	Hemiptera	Trialeurodes vaporariorum	Portiera	Portiera	drive sex ratio in the whitefly by facilitating fertilization and provisioning of B vitamins
RISB1180	Lepidoptera	Tineola bisselliella	Bacillus	Bacillus sp. FDAARGOS_235	activity of keratin-degrading enzymes and enable the  larvae to feed on keratin
RISB1181	Lepidoptera	Tineola bisselliella	Bacillus	Bacillus sp. FDAARGOS_235.	produce a cocktail of keratin-degrading enzymes
RISB1182	Lepidoptera	Pieris brassicae	None	gut bacteria	disturbances in the parental microbiota may affect the ability their offspring to cope with the stress of host plant shift
RISB1183	Coleoptera	Oryzaephilus surinamensis	Bacteroides	Bacteroides	supplement precursors for the cuticle synthesis and thereby enhance desiccation resistance of its host
RISB1184	Diptera	Hermetia illucens	None	gut bacteria	associated with degradation of food waste
RISB1185	Lepidoptera	Spodoptera frugiperda	None	gut bacteria	None
RISB1186	Diptera	Bactrocera tryoni	None	bacterial communities	None
RISB1187	Diptera	Bactrocera tryoni	None	fungal communities	None
RISB1188	Lepidoptera	Phthorimaea operculella	None	gut bacteria	None
RISB1189	Hemiptera	Kaburagia rhusicola	Wolbachia	Wolbachia	None
RISB1190	Hemiptera	Schlechtendalia chinensis	Wolbachia	Wolbachia	None
RISB1191	Hemiptera	Pemphigus yunnanensis	Wolbachia	Wolbachia	None
RISB1192	Hemiptera	Bemisia tabaci	Rickettsia	Rickettsia	There was a significant negative correlation between drug resistance and infection rate of Rickettsia for imidacloprid and thiamethoxam
RISB1193	Hemiptera	Bemisia tabaci	Candidatus Portiera	Portiera aleyrodidarum	synthesizing essential amino acid (e.g. tryptophan, leucine and L-Isoleucine), Bemisia tabaci provides vital nutritional support for growth, development and reproduction
RISB1194	Hymenoptera	Oecophylla smaragdina	Oecophyllibacter	Oecophyllibacter saccharovorans	None
RISB1195	Diptera	Bactrocera oleae	Kuraishia	Kuraishia capsulata	producing Isoamyl alcohol to attract Bactrocera oleae mating
RISB1196	Diptera	Bactrocera oleae	Lachancea	Lachancea thermotolerans	producing Isoamyl alcohol to attract Bactrocera oleae mating
RISB1197	Diptera	Bactrocera oleae	Peterozyma	Peterozyma xylosa	producing Isoamyl alcohol to attract Bactrocera oleae mating
RISB1198	Diptera	Bactrocera oleae	Scheffersomyces	Scheffersomyces ergatensis	producing Isoamyl alcohol to attract Bactrocera oleae mating
RISB1199	Diptera	Bactrocera oleae	Wickerhamomyces	Wickerhamomyces subpelliculosus	producing Isoamyl alcohol to attract Bactrocera oleae mating
RISB1200	Hemiptera	Triatominae sp.	None	gut bacteria	Triatomine gut microbiome composition is strongly influenced by three principal factors: ontogeny, species identity, and the environment.
RISB1201	Diptera	Rhagoletis cerasi	Wolbachia	Wolbachia	causes cytoplasmic incompatibility
RISB1202	Diptera	Drosophila simulans	Wolbachia	Wolbachia pipientis	causes cytoplasmic incompatibility
RISB1203	Coleoptera	Lasioderma serricorne	None	gut bacteria	None
RISB1204	Hemiptera	Sogatella furcifera	Asaia	Asaia	None
RISB1205	Lepidoptera	Zeuzera pyrina	Bacillus	Bacillus subtilis Bc1	process alkalophilic cellulase which hydrolyzed cellulose, avicel and carboxymethyl cellulose (CMC) and the final product of CMC hydrolysis was cellobiose using thin-layer chromatography analysis
RISB1206	Hemiptera	Laodelphax striatellus	None	gut bacteria	Wolbachia alters microbial communities in wild Laodelphax striatellus populations
RISB1207	Hemiptera	Parastrachia japonensis	Candidatus Parastrichiiphilus	Candidatus Benitsuchiphilus tojoi	The presence of genes involved in biosynthesis pathways for amino acids, vitamins, and cofactors in the genome implicated the symbiont as a nutritional mutualist, supplementing essential nutrients to the host, and symbiont’s plasmid encoded genes for thiamine and carotenoid synthesis pathways, suggesting the possibility of additional functions of the symbiont for protecting the host against oxidative stress and DNA damage
RISB1208	Lepidoptera	Galleria mellonella	Acinetobacter	Acinetobacter	play a key role in the polyethylene biodegradation process
RISB1209	Lepidoptera	Galleria mellonella	None	gut bacteria	play a key role in the polyethylene biodegradation process
RISB1210	Coleoptera	Xylosandrus compactus	Ambrosiella	Ambrosiella xylebori	None
RISB1211	Coleoptera	Xylosandrus compactus	Fusarium	Fusarium solani	None
RISB1212	Hemiptera	Cinara cuneomaculata	Buchnera	Buchnera aphidicola	None
RISB1213	Coleoptera	Polygraphus proximus	Wolbachia	Wolbachia	None
RISB1214	Diptera	Aedes aegypti	Zancudomyces	Zancudomyces culisetae	larval fungal exposure significantly decreased overall microbial community diversity, altered microbiome composition and structure, and decreased within-group microbiome variation across individuals
RISB1215	Coleoptera	Sitophilus zeamais	Candidatus Sodalis	Sodalis pierantonius	None
RISB1216	Hemiptera	Triatomines	None	bacteria	None
RISB1217	Diptera	Bactrocera oleae	Erwinia	Candidatus Erwinia dacicola	is essential for successful larval development in unripe olive fruits
RISB1218	Hymenoptera	Mycocepurus smithii	Pseudonocardia	Pseudonocardia	produce secondary metabolites with antibiotic activity that protects the fungus garden against pathogens
RISB1219	Hymenoptera	Mycetarotes parallelus	Pseudonocardia	Pseudonocardia	produce secondary metabolites with antibiotic activity that protects the fungus garden against pathogens
RISB1220	Hymenoptera	Mycetophylax morschi	Pseudonocardia	Pseudonocardia	produce secondary metabolites with antibiotic activity that protects the fungus garden against pathogens
RISB1221	Diptera	Delia antiqua	Citrobacter	Citrobacter freundii	six bacteria protect larvae from infection with the entomopathogen Beauveria bassiana through symbiotic bacterium-derived organic acids
RISB1222	Diptera	Delia antiqua	Citrobacter	Citrobacter freundii	six bacteria protect larvae from infection with the entomopathogen Beauveria bassiana through symbiotic bacterium-derived organic acids
RISB1223	Diptera	Delia antiqua	Enterobacter	Enterobacter ludwigii	six bacteria protect larvae from infection with the entomopathogen Beauveria bassiana through symbiotic bacterium-derived organic acids
RISB1224	Diptera	Delia antiqua	Pseudomonas	Pseudomonas protegens	six bacteria protect larvae from infection with the entomopathogen Beauveria bassiana through symbiotic bacterium-derived organic acids
RISB1225	Diptera	Delia antiqua	Serratia	Serratia plymuthica	six bacteria protect larvae from infection with the entomopathogen Beauveria bassiana through symbiotic bacterium-derived organic acids
RISB1226	Diptera	Delia antiqua	Sphingobacterium	Sphingobacterium faecium	six bacteria protect larvae from infection with the entomopathogen Beauveria bassiana through symbiotic bacterium-derived organic acids
RISB1227	Diptera	Delia antiqua	Stenotrophomonas	Stenotrophomonas maltophilia	six bacteria protect larvae from infection with the entomopathogen Beauveria bassiana through symbiotic bacterium-derived organic acids
RISB1228	Hemiptera	Diaphorina citri	Acremonium	Acremonium sclerotigenum	affected ACP resistance to imidacloprid and thiamethoxam
RISB1229	Hemiptera	Diaphorina citri	Golubevia	Golubevia pallescens	affected ACP resistance to imidacloprid and thiamethoxam
RISB1230	Hemiptera	Diaphorina citri	None	gut fungi	None
RISB1231	Hemiptera	Diaphorina citri	None	gut bacteria	None
RISB1232	Blattodea	Globitermes sulphureus	Bacillus	Bacillus licheniformis	process termiticidal activity of chitinase enzyme from gut symbiont isolate
RISB1233	Diptera	Anopheles coluzzii	Wolbachia	Wolbachia wAnga	wAnga may influence or interact with the Anopheles microbiota, which may contribute to the impact of wAnga on Anopheles biology and vectorial capacity
RISB1234	Diptera	Hermetia illucens	Actinomyces	Actinomyces spp.	provides the tools for degrading of a broad range of substrates
RISB1235	Diptera	Hermetia illucens	Dysgonomonas	Dysgonomonas spp.	provides the tools for degrading of a broad range of substrates
RISB1236	Diptera	Hermetia illucens	Enterococcus	Enterococcus spp.	provides the tools for degrading of a broad range of substrates
RISB1237	Diptera	Aedes aegypti	Wolbachia	Wolbachia	Increase dopamine levels
RISB1238	Coleoptera	Xylosandrus crassiusculus	Ambrosiella	Ambrosiella roeperi	None
RISB1239	Lepidoptera	Melitaea cinxia	None	gut bacteria	impacted the host immunity by down-regulating the expression of a gene involved in the response against pathogens
RISB1240	Lepidoptera	Brithys crini	None	gut bacteria	None
RISB1241	Coleoptera	Curculio chinensis	None	gut bacteria	beetle-associated bacterial symbionts mediate tea saponin degradation
RISB1242	Hemiptera	Potamobates horvathi	Acinetobacter	Acinetobacter	None
RISB1243	Hemiptera	Rheumatobates bergrothi	Acinetobacter	Acinetobacter	None
RISB1244	Hemiptera	Rheumatobates ornatus	Acinetobacter	Acinetobacter	None
RISB1245	Hemiptera	Telmatometra withei	Acinetobacter	Acinetobacter	None
RISB1246	Hemiptera	Potamobates horvathi	Actinobacteria	Actinobacteria Sp. 1	None
RISB1247	Hemiptera	Potamobates horvathi	Actinobacteria	Actinobacteria (sp.1 and sp.2)	None
RISB1248	Hemiptera	Potamobates tridentatus	Actinobacteria	Actinobacteria Sp. 1	None
RISB1249	Hemiptera	Rheumatobates ornatus	Chryseobacterium	Chryseobacterium	None
RISB1250	Hemiptera	Platygerris assimetricus	Fructobacillus	Fructobacillus	None
RISB1251	Hemiptera	Potamobates horvathi	Geobacillus	Geobacillus	None
RISB1252	Hemiptera	Potamobates horvathi	Geobacillus	Geobacillus	None
RISB1253	Hemiptera	Platygerris assimetricus	None	Enterobacteriaceae	None
RISB1254	Hemiptera	Rheumatobates bergrothi	None	Enterobacteriaceae	None
RISB1255	Hemiptera	Telmatometra withei	None	Enterobacteriaceae	None
RISB1256	Hemiptera	Platygerris assimetricus	Serratia	Serratia	None
RISB1257	Hemiptera	Rheumatobates bergrothi	Serratia	Serratia	None
RISB1258	Hemiptera	Telmatometra withei	Serratia	Serratia	None
RISB1259	Hemiptera	Platygerris assimetricus	Spiroplasma	Spiroplasma	None
RISB1260	Hemiptera	Potamobates horvathi	Spiroplasma	Spiroplasma	None
RISB1261	Hemiptera	Potamobates tridentatus	Spiroplasma	Spiroplasma	None
RISB1262	Hemiptera	Rheumatobates bergrothi	Spiroplasma	Spiroplasma	None
RISB1263	Hemiptera	Rheumatobates ornatus	Spiroplasma	Spiroplasma	None
RISB1264	Hemiptera	Telmatometra withei	Spiroplasma	Spiroplasma	None
RISB1265	Hemiptera	Rheumatobates bergrothi	Weeksellaceae	Weeksellaceae Sp. 1	None
RISB1266	Hemiptera	Platygerris assimetricus	Wolbachia	Wolbachia	None
RISB1267	Hemiptera	Potamobates horvathi	Wolbachia	Wolbachia	None
RISB1268	Hemiptera	Potamobates tridentatus	Wolbachia	Wolbachia	None
RISB1269	Hemiptera	Rheumatobates bergrothi	Wolbachia	Wolbachia	None
RISB1270	Hemiptera	Rheumatobates ornatus	Wolbachia	Wolbachia	None
RISB1271	Hemiptera	Telmatometra withei	Wolbachia	Wolbachia	None
RISB1272	Hemiptera	Rhopalosiphum padi	Candidatus Hamiltonella	Hamiltonella defensa	Survival rate of the parasitoid wasp attacked in the presence of symbiotic bacteria is significantly higher, but growth and development are negatively affected.
RISB1273	Diptera	Culicoides impunctatus	Rickettsia	Rickettsia Torix	possible symbiont-virus interactions
RISB1274	Diptera	Drosophila melanogaster	Spiroplasma	Spiroplasma poulsonii	manipulates the reproduction of its host by killing its male progeny at the embryonic stage
RISB1275	Hemiptera	Cimex lectularius	Rickettsia	Rickettsia	infected female Cimex lectularius producing fewer fertile eggs
RISB1276	Coleoptera	Pycna repanda	Candidatus Hodgkinia	Candidatus Hodgkinia cicadicola like	None
RISB1277	Coleoptera	Pycna repanda	Candidatus Karelsulcia	Candidatus Sulcia muelleri	None
RISB1278	Blattodea	Blattella germanica	None	gut bacteria	None
RISB1279	Coleoptera	Ips sp.	Rickettsia	Rickettsia	inducing cytoplasmic incompatibility, resulting in reproductive distortions and hence
RISB1280	Coleoptera	Ips sp.	Sodalis	Sodalis	None
RISB1281	Coleoptera	Dendroctonus simplex	Spiroplasma	Spiroplasma	None
RISB1282	Coleoptera	Ips sp.	Wolbachia	Wolbachia	inducing cytoplasmic incompatibility, resulting in reproductive distortions and hence
RISB1283	Lepidoptera	Grapholita molesta	None	gut bacteria	None
RISB1284	Hemiptera	Acyrthosiphon malvae	Candidatus Hamiltonella	Hamiltonella defensa	can provide a defence against hymenopteran parasitoids to their aphid hosts
RISB1285	Hymenoptera	Aphidius colemani	Corynebacterium	Corynebacterium sputi	Repelling parasitism
RISB1286	Coleoptera	Conorhynchus palumbus	None	gut bacteria	Nitrogen fixation
RISB1287	Lepidoptera	Chilo suppressalis	Wolbachia	Wolbachia	Wolbachia reduce the susceptibility of C. suppressalis to fipronil and avermectin
RISB1288	Lepidoptera	Lobesia botrana	Wolbachia	Wolbachia	None
RISB1289	Hemiptera	Laodelphax striatellus	Wolbachia	Wolbachia	supply biotin and riboflavin to enhance reproduction
RISB1290	Hemiptera	Nilaparvata lugens	Wolbachia	Wolbachia	enhances expression of NlCYP4CE1 in response to imidacloprid stress
RISB1291	Diptera	Aedes aegypti	Serratia	Serratia marcescens	facilitates arboviral infection through a secreted protein named SmEnhancin, which digests membrane-bound mucins on the mosquito gut epithelia, thereby enhancing viral dissemination.
RISB1292	Diptera	Anopheles sinensis	Serratia	Serratia Y1	inhibits Plasmodium development through stimulation of the mosquito immunity
RISB1293	Diptera	Anopheles sinensis	Serratia	Serratia Y1	inhibits Plasmodium development through stimulation of the mosquito immunity
RISB1294	Coleoptera	Dendroctonus rhizophagus	Cyberlindnera	Cyberlindnera americana ChDrAdgY46	play a role in the detoxification process of tree defensive chemicals
RISB1295	Coleoptera	Nicrophorus vespilloides	Serratia	Serratia marcescens 2MH3-2	producing antibacterial compound Serrawettin W2, which has antibacterial and nematode-inhibiting effects
RISB1296	Hemiptera	Sitobion miscanthi	Candidatus Hamiltonella	Candidatus Hamiltonella defensa	Increase the reproductive capacity of wheat aphids, increase the number of offspring and reduce the age of first breeding, suppressed the salicylic acid (SA)- and jasmonic acid (JA)-related defense pathways and SA/JA accumulation
RISB1297	Lepidoptera	Plutella xylostella	Enterobacter	Enterobacter cloacae  JJBC 11.1B StrepR	may improve the fitness of transgenic males
RISB1298	Lepidoptera	Plutella xylostella	Enterobacter	Enterobacter cloacae	increase pupal weight and male fitness
RISB1299	Diptera	Bactrocera minax	None	gut bacteria	None
RISB1300	Hemiptera	Aphis gossypii	Arsenophonus	Arsenophonus sp.	Arsenophonus sp. can have different effects on its hosts, including obligate mutualism in blood-sucking insects, improving the performance of whiteflies, or through facultative mutualism by protecting psyllids against parasitoid attacks.
RISB1301	Hemiptera	Aphis gossypii	Buchnera	Buchnera aphidicola	aphids are dependent on this microorganism for the production of the essential amino acids, vitamins and sterols that are necessary for their normal development and reproduction
RISB1302	Hemiptera	Myzus persicae	Buchnera	Buchnera aphidicola	aphids are dependent on this microorganism for the production of the essential amino acids, vitamins and sterols that are necessary for their normal development and reproduction
RISB1303	Hemiptera	Aphis gossypii	Pseudomonas	Pseudomonas fulva	By using caffeine from plants to produce nitrogen, this bacterium allows the coffee borer beetle to survive in coffee plants
RISB1304	Hemiptera	Myzus persicae	Pseudomonas	Pseudomonas fulva	By using caffeine from plants to produce nitrogen, this bacterium allows the coffee borer beetle to survive in coffee plants
RISB1305	Hemiptera	Aphis gossypii	Selenomonas	Selenomonas	None
RISB1306	Hemiptera	Myzus persicae	Selenomonas	Selenomonas	None
RISB1307	Hemiptera	Aphis gossypii	Sphingomonas	Sphingomonas	have been previously described in associations with phloem-feeding insects, in low abundances
RISB1308	Hemiptera	Myzus persicae	Sphingomonas	Sphingomonas	have been previously described in associations with phloem-feeding insects, in low abundances
RISB1309	Coleoptera	Cyrtotrachelus buqueti	None	gut bacteria	Bamboo lignocellulose degradation
RISB1310	Hemiptera	Riptortus pedestris	Burkholderia	Burkholderia sp.	None
RISB1311	Diptera	Ceratitis capitata	Enterobacter	Enterobacter sp. AA26	it was shown to have positive effects in rearing efficiency when used as larval probiotics
RISB1312	Lepidoptera	Galleria mellonella	Enterobacter	Enterobacter	biodegradation of Polyethylene
RISB1313	Lepidoptera	Bombyx mori	Streptomyces	Streptomyces	produce Bombyxamycin A which showed significant antibacterial and antiproliferative effects
RISB1314	Hemiptera	Riptortus pedestris	Burkholderia	Burkholderia	Burkholderia gut symbiont in the host insect stimulates biosynthesis of the heteroptera-specific JHSB3, leading to larger number of eggs produced and enhanced fitness in Riptortus host insects
RISB1315	Hemiptera	Sogatella furcifera	Asaia	Asaia sp.	infected WBPH were of shorter nymphal duration and heavier adult weight. Asaia sp. plays a role in improving WBPH fitness through involvement in host’s nutrient supply
RISB1316	Hemiptera	Sogatella furcifera	Asaia	Asaia sp.	Asaia plays a role in improving the white-backed planthopper (WBPH) fitness through involvement in host’s nutrient supply
RISB1317	Hemiptera	Diceroprocta semicincta	Candidatus Karelsulcia	Candidatus Sulcia muelleri	None
RISB1318	Hemiptera	Diceroprocta semicincta	Candidatus Hodgkinia	Candidatus Hodgkinia cicadicola	None
RISB1319	Hemiptera	Aphis fabae	Serratia	Serratia symbiotica	None
RISB1320	Hymenoptera	Vespa mandarinia	Gibbsiella	Gibbsiella	None
RISB1321	Hymenoptera	Vespa mandarinia	Lonsdalea	Lonsdalea	None
RISB1322	Hymenoptera	Vespa mandarinia	Yersinia	Yersinia	None
RISB1323	Hymenoptera	Vespa simillima	Yersinia	Yersinia	None
RISB1324	Hymenoptera	Vespa mandarinia	Zymobacter	Zymobacter palmae	None
RISB1325	Hymenoptera	Vespa simillima	Zymobacter	Zymobacter palmae	None
RISB1326	Hymenoptera	Vespa mandarinia	Zymomonas	Zymomonas mobilis	None
RISB1327	Hemiptera	Riptortus pedestris	Burkholderia	Burkholderia  insecticola strain RPE75	fed with specific nutrients and also recycles host metabolic wastes in the insect gut, and in return, the bacterial symbiont provides the host with essential nutrients limited in the insect food, contributing to the rapid growth and enhanced reproduction of the bean bug host.
RISB1328	Hemiptera	Diaphorina citri	Candidatus Profftella	Candidatus Profftella armatura	produces diaphorin, a polyketide that is significantly toxic to mammalian cells
RISB1329	Diptera	Bactrocera tryoni	None	gut bacteria	None
RISB1330	Hymenoptera	Pseudomyrmex	None	ant microbiota	may be contributing to nitrogen enrichment of its ant hosts through urease activity
RISB1331	Diptera	Zeugodacus cucurbitae	Enterobacter	Enterobacter hormaechei	None
RISB1332	Diptera	Rhagoletis cerasi	Wolbachia	Wolbachia	can alter the reproduction of hosts through various manipulations, like cytoplasmic incompatibility (CI), enhancing its spread in new host populations
RISB1333	Hemiptera	Adelges tsugae	Serratia	Serratia symbiotica	help to maintain aphid fitness during heat stress to varying degrees; the presence of facultative symbionts like S. symbiotica may protect the obligate symbiont Buchnera
RISB1334	Hemiptera	Ommatissus lybicus	Arsenophonus	Arsenophonus	the removal of Arsenophonus increased the developmental time of the immature stages and reduced the values of different life-history parameters including nymphal survival rate and adult longevity in the host
RISB1335	Diptera	Drosophila melanogaster	None	gut bacteria	Increase chemotaxis response to odorants
RISB1336	Agaricales	Drosophila	Spiroplasma	Spiroplasma poulsonii	Spiroplasma poulsonii can encode Ribosome Inactivating Proteins(RIP),which induced damage contributes to male embryo death.
RISB1337	Hymenoptera	Sirex noctilio	Amylostereum	Amylostereum areolatum	volatiles of Amylostereum areolatum ((-)-globulol, 2-hexene, cycloprop[e]indene-1a,2(1H)-dicarboxaldehyde, terpene and cyclopentanone) had a significant attractiveness to adult female woodwasp
RISB1338	Diptera	Ceratitis capitata	Enterobacter	Enterobacter sp. AA26	Enterobacter sp. AA26 dry biomass can fully replace the brewer’s yeast as a protein source in medfly larval diet without any effect on the productivity and the biological quality of reared medfly of VIENNA 8 GSS
RISB1339	Lepidoptera	Manduca sexta	Escherichia	Escherichia coli	modulate immunity-related gene expression in the infected F0 larvae, and also in their offspring, triggered immune responses in the infected host associated with shifts in both DNA methylation and histone acetylation
RISB1340	Hemiptera	Myzus persicae	Candidatus Regiella	Candidatus Regiella insecticola 5.15	provides strong protection against parasitoid wasps; Negative effects of R5.15 on host survival and lifetime reproduction were limited and frequently non-significant
RISB1341	Hemiptera	Acyrthosiphon pisum	Candidatus Regiella	Candidatus Regiella insecticola 5.15	provides strong protection against parasitoid wasps; Negative effects of R5.15 on host survival and lifetime reproduction were limited and frequently non-significant
RISB1342	Hemiptera	Aphis fabae	Candidatus Regiella	Candidatus Regiella insecticola 5.15	provides strong protection against parasitoid wasps; Negative effects of R5.15 on host survival and lifetime reproduction were limited and frequently non-significant
RISB1343	Lepidoptera	Plodia interpunctella	None	bacteria	None
RISB1344	Coleoptera	Dendroctonus rufipennis	Leptographium	Leptographium abietinum	inoculation with L. abietinum significantly reduced concentrations of a tree defensive compound, (+)-3-carene, in growth media
RISB1345	Coleoptera	Dendroctonus rufipennis	Leptographium	Leptographium abietinum	inoculation with L. abietinum significantly reduced concentrations of a tree defensive compound, (+)-4-carene, in growth media
RISB1346	Diptera	Drosophila melanogaster	Spiroplasma	Spiroplasma poulsonii	S. poulsonii protects its host against parasitoid wasps and nematodes by the action of toxins from the family of Ribosome Inactivating Proteins
RISB1347	Coleoptera	Ips typographus	Grosmannia	Grosmannia penicillata	fungi have the ability to degrade conifer phenolics
RISB1348	Coleoptera	Ips typographus	Grosmannia	Grosmannia europhioides	fungi have the ability to degrade conifer phenolics
RISB1349	Hymenoptera	Paratrechina longicornis	Wolbachia	Wolbachia	None
RISB1350	Entomobryomorpha	Folsomia candida	Bacillus	Bacillus toyonensis VU-DES13	The isolate was highly resistant to penicillin and inhibited the growth of a variety of pathogenic microorganisms
RISB1351	Hemiptera	Acyrthosiphon pisum	Serratia	Candidatus Serratia symbiotica Strain IS	None
RISB1352	Hymenoptera	Nasonia vitripennis	Providencia	Providencia rettgeri NVITNone3	None
RISB1353	Hymenoptera	Cephus cinctus	Spiroplasma	Spiroplasma sp. WSS	The bacterium also encoded biosynthetic pathways for essential vitamins B2, B3, and B9. We identified putative Spiroplasma virulence genes: cardiolipin and chitinase.
RISB1354	Diptera	Drosophila melanogaster	Wolbachia	Wolbachia pipientis	Wolbachia influence octopamine metabolism in the Drosophila females, which is by the symbiont genotype
RISB1355	Coleoptera	Callosobruchus maculatus	None	gut bacteria	These bacterial phyla may allow the adults C. maculatus to survive on DDVP treated grains, thereby making it inappropriate to control the beetle populations in the field.
RISB1356	Coleoptera	Callosobruchus maculatus	Acinetobacter	Acinetobacter	These bacterial phyla may allow the adults C. maculatus to survive on DDVP treated grains, thereby making it inappropriate to control the beetle populations in the field.
RISB1357	Coleoptera	Callosobruchus maculatus	Citrobacter	Citrobacter	These bacterial phyla may allow the adults C. maculatus to survive on DDVP treated grains, thereby making it inappropriate to control the beetle populations in the field.
RISB1358	Coleoptera	Callosobruchus maculatus	Pseudomonas	Pseudomonas	These bacterial phyla may allow the adults C. maculatus to survive on DDVP treated grains, thereby making it inappropriate to control the beetle populations in the field.
RISB1359	Coleoptera	Conorhynchus palumbus	Citrobacter	Citrobacter	associated with nitrogen fixation, recycling of uric acid nitrogen, and cellulose degradation
RISB1360	Coleoptera	Menecleonus virgatus	Citrobacter	Citrobacter	associated with nitrogen fixation, recycling of uric acid nitrogen, and cellulose degradation
RISB1361	Diptera	Drosophila melanogaster	Acetobacter	Acetobacter malorum	resulted in the development of larger ovaries and in increased egg numbers in an oviposition assay.
RISB1362	Diptera	Drosophila melanogaster	Saccharomyces	Saccharomyces cerevisiae	resulted in the development of larger ovaries and in increased egg numbers in an oviposition assay.
RISB1363	Hemiptera	Sitobion avenae	Candidatus Regiella	Regiella insecticola	R. insecticola-infected aphids were more predated by the ladybird Hippodamia variegata irrespective of host plants and did not improve defences against coccinellid predators or metabolic rates on any host plants
