序号	记录类型	分类目	分类科	分类亚科	昆虫名称	共生体分类门	共生体分类目	共生体分类属	共生体分类级别	共生体分类阶元	共生体名称	种类	寄生位置	传播模式	功能	功能标签	共生体序列数据	基因组序号	参考文献	doi号	期刊	出版年份	备注
RISB1334	Symbiont	Hemiptera	Tropiduchidae	None	Ommatissus lybicus	Pseudomonadota	Enterobacterales	Arsenophonus	Genus	Arsenophonus	Arsenophonus	Bacteria	Intracellular	None	the removal of Arsenophonus increased the developmental time of the immature stages and reduced the values of different life-history parameters including nymphal survival rate and adult longevity in the host	None	None	None	Effect of Arsenophonus Endosymbiont Elimination on Fitness of the Date Palm Hopper, Ommatissus lybicus (Hemiptera: Tropiduchidae)	10.1093/ee/nvz047	ENVIRONMENTAL ENTOMOLOGY	2019	None
RISB1335	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	None	None	None	None	None	gut bacteria	Bacteria	Extracellular	None	Increase chemotaxis response to odorants	None	None	None	Effect of gut microbes on olfactory behavior of Drosophila melanogaster larva	10.1893/0005-3155-90.4.227	Bios	2019	None
RISB1336	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila	Mycoplasmatota	Entomoplasmatales	Spiroplasma	Genus	Spiroplasma	Spiroplasma poulsonii	Bacteria	Intracellular	Vertical	Spiroplasma poulsonii can encode Ribosome Inactivating Proteins(RIP),which induced damage contributes to male embryo death.	Energy metabolism,Growth and Development	PRJNA474708	None	Effect of heritable symbionts on maternally-derived embryo transcripts	10.1038/s41598-019-45371-0	SCIENTIFIC REPORTS	2019	None
RISB1337	Symbiont	Hymenoptera	Siricidae	None	Sirex noctilio	Basidiomycota	Russulales	Amylostereum	Genus	Amylostereum	Amylostereum areolatum	Fungi	Extracellular	Horizontal	volatiles of Amylostereum areolatum ((-)-globulol, 2-hexene, cycloprop[e]indene-1a,2(1H)-dicarboxaldehyde, terpene and cyclopentanone) had a significant attractiveness to adult female woodwasp	None	KX099619	None	Effects of endophytic fungi in Mongolian pine on the selection behavior of woodwasp (Sirex noctilio) and the growth of its fungal symbiont	10.1002/ps.5146	PEST MANAGEMENT SCIENCE	2019	None
RISB1338	Symbiont	Diptera	Tephritidae	Dacinae	Ceratitis capitata	Pseudomonadota	Enterobacterales	Enterobacter	Genus	Enterobacter	Enterobacter sp. AA26	Bacteria	Extracellular	None	Enterobacter sp. AA26 dry biomass can fully replace the brewer’s yeast as a protein source in medfly larval diet without any effect on the productivity and the biological quality of reared medfly of VIENNA 8 GSS	None	None	None	Enterobacter sp. AA26 gut symbiont as a protein source for Mediterranean fruit fly mass-rearing and sterile insect technique applications	10.1186/s12866-019-1651-z	BMC MICROBIOLOGY	2019	None
RISB1339	Symbiont	Lepidoptera	Pyralidae	Galleriinae	Manduca sexta	Pseudomonadota	Enterobacterales	Escherichia	Genus	Escherichia	Escherichia coli	Bacteria	None	Vertical	modulate immunity-related gene expression in the infected F0 larvae, and also in their offspring, triggered immune responses in the infected host associated with shifts in both DNA methylation and histone acetylation	Immune priming	None	None	Epigenetic Mechanisms Are Involved in Sex-Specific Trans-Generational Immune Priming in the Lepidopteran Model Host Manduca sexta.	10.3389/fphys.2019.00137	Frontiers in Physiology	2019	None
RISB1340	Symbiont	Hemiptera	Aphididae	Aphidinae	Myzus persicae	Pseudomonadota	Enterobacterales	Candidatus Regiella	Genus	Candidatus Regiella	Candidatus Regiella insecticola 5.15	Bacteria	Intracellular	None	provides strong protection against parasitoid wasps; Negative effects of R5.15 on host survival and lifetime reproduction were limited and frequently non-significant	Natural enemy resistance	None	None	Estimating costs of aphid resistance to parasitoids conferred by a protective strain of the bacterial endosymbiont Regiella insecticola	10.1111/eea.12749	ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA	2019	None
RISB1341	Symbiont	Hemiptera	Aphididae	Aphidinae	Acyrthosiphon pisum	Pseudomonadota	Enterobacterales	Candidatus Regiella	Genus	Candidatus Regiella	Candidatus Regiella insecticola 5.15	Bacteria	Intracellular	None	provides strong protection against parasitoid wasps; Negative effects of R5.15 on host survival and lifetime reproduction were limited and frequently non-significant	Natural enemy resistance	None	None	Estimating costs of aphid resistance to parasitoids conferred by a protective strain of the bacterial endosymbiont Regiella insecticola	10.1111/eea.12749	ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA	2019	None
RISB1342	Symbiont	Hemiptera	Aphididae	Aphidinae	Aphis fabae	Pseudomonadota	Enterobacterales	Candidatus Regiella	Genus	Candidatus Regiella	Candidatus Regiella insecticola 5.15	Bacteria	Intracellular	None	provides strong protection against parasitoid wasps; Negative effects of R5.15 on host survival and lifetime reproduction were limited and frequently non-significant	Natural enemy resistance	None	None	Estimating costs of aphid resistance to parasitoids conferred by a protective strain of the bacterial endosymbiont Regiella insecticola	10.1111/eea.12749	ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA	2019	None
RISB1343	Amplicon	Lepidoptera	Pyralidae	Phycitinae	Plodia interpunctella	None	None	None	None	None	bacteria	Bacteria	Extracellular	None	None	None	ERX2081157-ERX2081170	None	Evidence for a conserved microbiota across the different developmental stages of Plodia interpunctella	10.1111/1744-7917.12551	INSECT SCIENCE	2019	None
RISB1344	Symbiont	Coleoptera	Curculionidae	Scolytinae	Dendroctonus rufipennis	Ascomycota	Ophiostomatales	Leptographium	Genus	Leptographium	Leptographium abietinum	Fungi	Extracellular	None	inoculation with L. abietinum significantly reduced concentrations of a tree defensive compound, (+)-3-carene, in growth media	Plant secondary metabolites	None	None	Evidence for multiple ecological roles of Leptographium abietinum, a symbiotic fungus associated with the North American spruce beetle	10.1016/j.funeco.2018.04.008	FUNGAL ECOLOGY	2019	None
RISB1345	Symbiont	Coleoptera	Curculionidae	Scolytinae	Dendroctonus rufipennis	Ascomycota	Ophiostomatales	Leptographium	Genus	Leptographium	Leptographium abietinum	Fungi	Extracellular	None	inoculation with L. abietinum significantly reduced concentrations of a tree defensive compound, (+)-4-carene, in growth media	Plant secondary metabolites	None	None	Evidence for multiple ecological roles of Leptographium abietinum, a symbiotic fungus associated with the North American spruce beetle	10.1016/j.funeco.2018.04.008	FUNGAL ECOLOGY	2019	None
RISB1346	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Mycoplasmatota	Entomoplasmatales	Spiroplasma	Genus	Spiroplasma	Spiroplasma poulsonii	Bacteria	Intracellular	Vertical	S. poulsonii protects its host against parasitoid wasps and nematodes by the action of toxins from the family of Ribosome Inactivating Proteins	None	None	None	Functional analysis of RIP toxins from the Drosophila endosymbiont Spiroplasma poulsonii	10.1186/s12866-019-1410-1	BMC MICROBIOLOGY	2019	None
RISB1347	Symbiont	Coleoptera	Curculionidae	Scolytinae	Ips typographus	Ascomycota	Ophiostomatales	Grosmannia	Genus	Grosmannia	Grosmannia penicillata	Fungi	Extracellular	None	fungi have the ability to degrade conifer phenolics	Plant secondary metabolites	None	None	Fungal associates of the tree-killing bark beetle, Ips typographus, vary in virulence, ability to degrade conifer phenolics and influence bark beetle tunneling behavior	10.1016/j.funeco.2018.06.003	Fungal Ecology	2019	None
RISB1348	Symbiont	Coleoptera	Curculionidae	Scolytinae	Ips typographus	Ascomycota	Ophiostomatales	Grosmannia	Genus	Grosmannia	Grosmannia europhioides	Fungi	Extracellular	None	fungi have the ability to degrade conifer phenolics	Plant secondary metabolites	None	None	Fungal associates of the tree-killing bark beetle, Ips typographus, vary in virulence, ability to degrade conifer phenolics and influence bark beetle tunneling behavior	10.1016/j.funeco.2018.06.003	Fungal Ecology	2019	None
RISB1349	Symbiont	Hymenoptera	Formicidae	Formicinae	Paratrechina longicornis	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	Intracellular	None	None	None	None	None	Genetic Diversity and Wolbachia Infection Patterns in a Globally Distributed Invasive Ant	10.3389/fgene.2019.00838	FRONTIERS IN GENETICS	2019	None
RISB1350	Symbiont	Entomobryomorpha	Isotomidae	Proisotominae	Folsomia candida	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus toyonensis VU-DES13	Bacteria	Extracellular	None	The isolate was highly resistant to penicillin and inhibited the growth of a variety of pathogenic microorganisms	Antimicrobials	GCA_002071845.1	GISB0241	Genome annotation and antimicrobial properties of Bacillus toyonensis VU-DES13, isolated from the Folsomia candida gut	10.1111/eea.12763	ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA	2019	None
RISB1351	Symbiont	Hemiptera	Aphididae	Aphidinae	Acyrthosiphon pisum	Pseudomonadota	Enterobacterales	Serratia	Genus	Serratia	Candidatus Serratia symbiotica Strain IS	Bacteria	Extracellular	Horizontal	None	None	AP019531,AP019532	GISB0007,GISB0008	Genome Sequence of “Candidatus Serratia symbiotica” Strain IS, a Facultative Bacterial Symbiont of the Pea Aphid Acyrthosiphon pisum	10.1128/mra.00272-19	Microbiology Resource Announcements	2019	None
RISB1352	Symbiont	Hymenoptera	Pteromalidae	Pteromalinae	Nasonia vitripennis	Pseudomonadota	Enterobacterales	Providencia	Genus	Providencia	Providencia rettgeri NVITNone3	Bacteria	Extracellular	Horizontal	None	None	GCA_003426175.1	GISB0275	Genome Sequence of Providencia rettgeri NVIT03, Isolated from Nasonia vitripennis	10.1128/mra.01157-18	MICROBIOLOGY RESOURCE ANNOUNCEMENTS	2019	None
RISB1353	Symbiont	Hymenoptera	Cephidae	None	Cephus cinctus	Mycoplasmatota	Entomoplasmatales	Spiroplasma	Genus	Spiroplasma	Spiroplasma sp. WSS	Bacteria	Intracellular	None	The bacterium also encoded biosynthetic pathways for essential vitamins B2, B3, and B9. We identified putative Spiroplasma virulence genes: cardiolipin and chitinase.	Nutrient provision	GCA_005795965.1	GISB0291	Genome-resolved insights into a novel Spiroplasma symbiont of the Wheat Stem Sawfly (Cephus cinctus)	10.7717/peerj.7548	PEERJ	2019	None
RISB1354	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia pipientis	Bacteria	Intracellular	None	Wolbachia influence octopamine metabolism in the Drosophila females, which is by the symbiont genotype	None	None	None	Genotype of Wolbachia pipientis Endosymbiont Affects Octopamine Metabolism in Drosophila melanogaster Females	10.1134/S1022795419050028	RUSSIAN JOURNAL OF GENETICS	2019	None
RISB1355	Amplicon	Coleoptera	Chrysomelidae	Bruchinae	Callosobruchus maculatus	None	None	None	None	None	gut bacteria	Bacteria	Extracellular	Horizontal	These bacterial phyla may allow the adults C. maculatus to survive on DDVP treated grains, thereby making it inappropriate to control the beetle populations in the field.	Pathogen interaction	SRX5645977-SRX5645985	None	Gut bacteria of the cowpea beetle mediate its resistance to dichlorvos and susceptibility to Lippia adoensis essential oil	10.1038/s41598-019-42843-1	SCIENTIFIC REPORTS	2019	None
RISB1356	Symbiont	Coleoptera	Chrysomelidae	Bruchinae	Callosobruchus maculatus	Pseudomonadota	Moraxellales	Acinetobacter	Genus	Acinetobacter	Acinetobacter	Bacteria	Extracellular	Horizontal	These bacterial phyla may allow the adults C. maculatus to survive on DDVP treated grains, thereby making it inappropriate to control the beetle populations in the field.	Pathogen interaction	PRJNA530839	None	Gut bacteria of the cowpea beetle mediate its resistance to dichlorvos and susceptibility to Lippia adoensis essential oil	10.1038/s41598-019-42843-1	SCIENTIFIC REPORTS	2019	None
RISB1357	Symbiont	Coleoptera	Chrysomelidae	Bruchinae	Callosobruchus maculatus	Pseudomonadota	Enterobacterales	Citrobacter	Genus	Citrobacter	Citrobacter	Bacteria	Extracellular	Horizontal	These bacterial phyla may allow the adults C. maculatus to survive on DDVP treated grains, thereby making it inappropriate to control the beetle populations in the field.	Pathogen interaction	PRJNA530840	None	Gut bacteria of the cowpea beetle mediate its resistance to dichlorvos and susceptibility to Lippia adoensis essential oil	10.1038/s41598-019-42843-1	SCIENTIFIC REPORTS	2019	None
RISB1358	Symbiont	Coleoptera	Chrysomelidae	Bruchinae	Callosobruchus maculatus	Pseudomonadota	Pseudomonadales	Pseudomonas	Genus	Pseudomonas	Pseudomonas	Bacteria	Extracellular	Horizontal	These bacterial phyla may allow the adults C. maculatus to survive on DDVP treated grains, thereby making it inappropriate to control the beetle populations in the field.	Pathogen interaction	PRJNA530841	None	Gut bacteria of the cowpea beetle mediate its resistance to dichlorvos and susceptibility to Lippia adoensis essential oil	10.1038/s41598-019-42843-1	SCIENTIFIC REPORTS	2019	None
RISB1359	Symbiont	Coleoptera	Curculionidae	Lixinae	Conorhynchus palumbus	Pseudomonadota	Enterobacterales	Citrobacter	Genus	Citrobacter	Citrobacter	Bacteria	None	None	associated with nitrogen fixation, recycling of uric acid nitrogen, and cellulose degradation	Nitrogen fixation,Digestive enzymes	KDDD00000000	None	Gut bacteria of weevils developing on plant roots under extreme desert conditions	10.1186/s12866-019-1690-5	BMC MICROBIOLOGY	2019	None
RISB1360	Symbiont	Coleoptera	Curculionidae	Lixinae	Menecleonus virgatus	Pseudomonadota	Enterobacterales	Citrobacter	Genus	Citrobacter	Citrobacter	Bacteria	None	None	associated with nitrogen fixation, recycling of uric acid nitrogen, and cellulose degradation	Nitrogen fixation,Digestive enzymes	KDDD00000000	None	Gut bacteria of weevils developing on plant roots under extreme desert conditions	10.1186/s12866-019-1690-5	BMC MICROBIOLOGY	2019	None
RISB1361	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Pseudomonadota	Rhodospirillales	Acetobacter	Genus	Acetobacter	Acetobacter malorum	Bacteria	Extracellular	Horizontal	resulted in the development of larger ovaries and in increased egg numbers in an oviposition assay.	Fertility	None	None	Gut microbiota affects development and olfactory behavior in Drosophila melanogaster	10.1242/jeb.192500	JOURNAL OF EXPERIMENTAL BIOLOGY	2019	None
RISB1362	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Ascomycota	Saccharomycetales	Saccharomyces	Genus	Saccharomyces	Saccharomyces cerevisiae	Fungi	Extracellular	Horizontal	resulted in the development of larger ovaries and in increased egg numbers in an oviposition assay.	Fertility	None	None	Gut microbiota affects development and olfactory behavior in Drosophila melanogaster	10.1242/jeb.192500	JOURNAL OF EXPERIMENTAL BIOLOGY	2019	None
RISB1363	Symbiont	Hemiptera	Aphididae	Aphidinae	Sitobion avenae	Pseudomonadota	Enterobacterales	Candidatus Regiella	Genus	Candidatus Regiella	Regiella insecticola	Bacteria	Intracellular	None	R. insecticola-infected aphids were more predated by the ladybird Hippodamia variegata irrespective of host plants and did not improve defences against coccinellid predators or metabolic rates on any host plants	None	None	None	Harbouring the secondary endosymbiont Regiella insecticola increases predation risk and reproduction in the cereal aphid Sitobion avenae	10.1007/s10340-019-01090-z	JOURNAL OF PEST SCIENCE	2019	None
RISB1364	Symbiont	Hemiptera	Pentatomidae	Pentatominae	Brachynema germari Kolenati	Pseudomonadota	Enterobacterales	Pantoea	Genus	Pantoea	Pantoea sp.	Bacteria	Extracellular	Vertical	the symbiont-free insects exhibited retarded growth, lower longevity, and adult body weight	Growth and Development,Fertility	None	None	Heritable Gammaproteobacterial Symbiont Improves the Fitness of Brachynema germari Kolenati (Hemiptera: Pentatomidae)	10.1093/ee/nvz089	ENVIRONMENTAL ENTOMOLOGY	2019	None
RISB1365	Amplicon	Lepidoptera	Noctuidae	Amphipyrinae	Spodoptera frugiperda	None	None	None	None	None	gut bacteria	Bacteria	Extracellular	None	gut bacteria include suppression and detoxification of plant defences	Plant defense, Plant secondary metabolites	SRX5085608-SRX5085553	None	Host plant and population source drive diversity of microbial gut communities in two polyphagous insects	10.1038/s41598-019-39163-9	SCIENTIFIC REPORTS	2019	None
RISB1366	Amplicon	Lepidoptera	Noctuidae	Heliothinae	Helicoverpa zea	None	None	None	None	None	gut bacteria	Bacteria	Extracellular	None	gut bacteria include suppression and detoxification of plant defences	Plant defense, Plant secondary metabolites	SRX5085553-SRX5085608	None	Host plant and population source drive diversity of microbial gut communities in two polyphagous insects	10.1038/s41598-019-39163-9	SCIENTIFIC REPORTS	2019	None
RISB1367	Amplicon	Coleoptera	Coccinellidae	Epilachninae	Henosepilachna vigintioctopunctata	None	None	None	None	None	gut bacteria	Bacteria	Extracellular	Horizontal	None	None	SRX4997503-SRX4997508	None	Host plants influence the composition of the gut bacteria in Henosepilachna vigintioctopunctata	10.1371/journal.pone.0224213	PLOS ONE	2019	None
RISB1368	Symbiont	Hemiptera	Alydidae	None	Riptortus pedestris	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia	Bacteria	None	Vertical	recycling host metabolic wastes into essential amino acids and B vitamins in the M4 crypts	Nutrient provision	None	None	Host–symbiont specificity determined by microbe–microbe competition in an insect gut	10.1073/pnas.1912397116	Proceedings of the National Academy of Sciences of the United States of America	2019	None
RISB1369	Symbiont	Hemiptera	Reduviidae	Triatominae	Rhodnius prolixus	Pseudomonadota	Enterobacterales	Serratia	Genus	Serratia	Serratia marcescens	Bacteria	Extracellular	Horizontal	None	None	GCA_004196365.1,GCA_004196355.1	GISB0285,GISB0286	In vitro Trypanocidal Activity, Genomic Analysis of Isolates, and in vivo Transcription of Type VI Secretion System of Serratia marcescens Belonging to the Microbiota of Rhodnius prolixus Digestive Tract	10.3389/fmicb.2018.03205	FRONTIERS IN MICROBIOLOGY	2019	None
RISB1370	Symbiont	Hemiptera	Aphididae	Aphidinae	Sitobion avenae	Pseudomonadota	Enterobacterales	Candidatus Regiella	Genus	Candidatus Regiella	Candidatus Regiella insecticola	Bacteria	Intracellular	Vertical	Regiella infection decreased the intrinsic rate of increase (rm) of aphids at 25 °C and 28 °C. However, at 31 °C, the effect of Regiella on the rm varied depending on the aphid genotype and density. Thus, the negative effects of this endosymbiont on its host were environmentally dependent.	Chemical biosynthesis	JX533649,HM156642	None	Infection pattern and negative effects of a facultative endosymbiont on its insect host are environment-dependent	10.1038/s41598-019-40607-5	SCIENTIFIC REPORTS	2019	None
RISB1371	Symbiont	Hemiptera	Aphididae	Aphidinae	Aphis gossypii	Pseudomonadota	Enterobacterales	Arsenophonus	Genus	Arsenophonus	Arsenophonus	Bacteria	Intracellular	None	infections with Arsenophonus facultative endosymbionts alter performance of aphids on an amino-acid-deficient diet	Nutrient provision	None	None	Infections with Arsenophonus Facultative Endosymbionts Alter Performance of Aphids (Aphis gossypii) on an Amino-Acid-Deficient Diet	10.1128/AEM.01407-19	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	2019	None
RISB1372	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Spodoptera frugiperda	Pseudomonadota	Enterobacterales	Xenorhabdus	Genus	Xenorhabdus	Xenorhabdus rhabduscin	Bacteria	None	None	the products of the symbiont gene cluster inhibit Spodoptera frugiperda phenoloxidase activity	Immune priming	None	None	Inhibition of Spodoptera frugiperda phenoloxidase activity by the products of the Xenorhabdus rhabduscin gene cluster	10.1371/journal.pone.0212809	PLOS ONE	2019	None
RISB1373	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Bemisia tabaci	Pseudomonadota	Enterobacterales	Arsenophonus	Genus	Arsenophonus	Arsenophonus	Bacteria	Intracellular	None	None	None	SRP117655	None	Insight into the microbial world of Bemisia tabaci cryptic species complex and its relationships with its host	10.1038/s41598-019-42793-8	SCIENTIFIC REPORTS	2019	None
RISB1374	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Bemisia tabaci	Pseudomonadota	Oceanospirillales	Halomonas	Genus	Halomonas	Halomonas	Bacteria	Intracellular	None	None	None	SRP117655	None	Insight into the microbial world of Bemisia tabaci cryptic species complex and its relationships with its host	10.1038/s41598-019-42793-8	SCIENTIFIC REPORTS	2019	None
RISB1375	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Bemisia tabaci	Pseudomonadota	Rickettsiales	Rickettsia	Genus	Rickettsia	Rickettsia	Bacteria	Intracellular	None	None	None	SRP117655	None	Insight into the microbial world of Bemisia tabaci cryptic species complex and its relationships with its host	10.1038/s41598-019-42793-8	SCIENTIFIC REPORTS	2019	None
RISB1376	Symbiont	Lepidoptera	Pyralidae	Galleriinae	Thitarodes	Ascomycota	Dothideales	Aureobasidium	Genus	Aureobasidium	Aureobasidium	Fungi	None	None	producing useful enzymes, such as amylases, cellulases, lipases, proteases, xylanases, and mannanases	Digestive enzymes	None	None	Internal and External Microbial Community of the Thitarodes Moth, the Host of Ophiocordyceps sinensis	10.3390/microorganisms7110517	Microorganisms	2019	None
RISB1377	Symbiont	Lepidoptera	Pyralidae	Galleriinae	Thitarodes pui	Ascomycota	Dothideales	Aureobasidium	Genus	Aureobasidium	Aureobasidium	Fungi	None	None	play important roles in helping the host larva to digest foods, adapt to extreme environments, or resist pathogens	Digestive enzymes,Antimicrobials	SRR6036442	None	Internal and External Microbial Community of the Thitarodes Moth, the Host of Ophiocordyceps sinensis	10.3390/microorganisms7110517	Microorganisms	2019	None
RISB1378	Symbiont	Lepidoptera	Pyralidae	Galleriinae	Thitarodes pui	Bacillota	Lactobacillales	Carnobacterium	Genus	Carnobacterium	Carnobacterium	Bacteria	None	None	promote the growth of Thitarodes larvae, elevate bacterial diversity, maintain a better balance of intestinal flora, and act as a probiotic in Thitarodes	Probiotic	SRR6866849	None	Internal and External Microbial Community of the Thitarodes Moth, the Host of Ophiocordyceps sinensis	10.3390/microorganisms7110517	Microorganisms	2019	None
RISB1379	Symbiont	Lepidoptera	Pyralidae	Galleriinae	Thitarodes pui	Basidiomycota	Malasseziales	Malassezia	Genus	Malassezia	Malassezia	Fungi	None	None	None	None	SRR6036442	None	Internal and External Microbial Community of the Thitarodes Moth, the Host of Ophiocordyceps sinensis	10.3390/microorganisms7110517	Microorganisms	2019	None
RISB1380	Symbiont	Lepidoptera	Pyralidae	Galleriinae	Thitarodes pui	Ascomycota	Pleosporales	Phoma	Genus	Phoma	Phoma	Fungi	None	None	play important roles in helping the host larva to digest foods, adapt to extreme environments, or resist pathogens	Digestive enzymes,Antimicrobials	SRR6036442	None	Internal and External Microbial Community of the Thitarodes Moth, the Host of Ophiocordyceps sinensis	10.3390/microorganisms7110517	Microorganisms	2019	None
RISB1381	Symbiont	Lepidoptera	Pyralidae	Galleriinae	Thitarodes pui	Mycoplasmatota	Entomoplasmatales	Spiroplasma	Genus	Spiroplasma	Spiroplasma	Bacteria	None	None	play important roles in helping the host larva to digest foods, adapt to extreme environments, or resist pathogens	Digestive enzymes,Antimicrobials	SRR6866849	None	Internal and External Microbial Community of the Thitarodes Moth, the Host of Ophiocordyceps sinensis	10.3390/microorganisms7110517	Microorganisms	2019	None
RISB1382	Symbiont	Lepidoptera	Pyralidae	Galleriinae	Thitarodes pui	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	Intracellular	Vertical	play important roles in helping the host larva to digest foods, adapt to extreme environments, or resist pathogens	Digestive enzymes,Antimicrobials	SRR6866849	None	Internal and External Microbial Community of the Thitarodes Moth, the Host of Ophiocordyceps sinensis	10.3390/microorganisms7110517	Microorganisms	2019	None
RISB1383	Amplicon	Coleoptera	Curculionidae	Dryophthorinae	Rhynchophorus ferrugineus	None	None	None	None	None	gut bacteria	Bacteria	Extracellular	None	Defense against pathogenic bacteria (via host immune stimulation)	Pathogen interaction	SRR9637668-SRR9637673	None	Intestinal Microbiota Confer Protection by Priming the Immune System of Red Palm Weevil Rhynchophorus ferrugineus Olivier (Coleoptera: Dryophthoridae)	10.3389/fphys.2019.01303	FRONTIERS IN PHYSIOLOGY	2019	None
RISB1384	Amplicon	Coleoptera	Curculionidae	Dryophthorinae	Rhynchophorus ferrugineus	None	None	None	None	None	gut bacteria	Bacteria	Extracellular	None	confer protection by priming the immune system of host	Immune priming	SRR9637668-SRR9637673	None	Intestinal Microbiota Confer Protection by Priming the Immune System of Red Palm Weevil Rhynchophorus ferrugineus Olivier (Coleoptera: Dryophthoridae)	10.3389/fphys.2019.01303	FRONTIERS IN PHYSIOLOGY	2019	None
RISB1385	Symbiont	Hemiptera	Dactylopiidae	None	Dactylopius coccus	Pseudomonadota	Rhodocyclales	Candidatus Dactylopiibacterium	Genus	Candidatus Dactylopiibacterium	Candidatus Dactylopiibacterium carminicum	Bacteria	Extracellular	None	Dactylopiibacterium may catabolize plant polysaccharides, and be active in carbon and nitrogen provisioning through its degradative activity and by fixing nitrogen;this symbiont was also shown to occur in the hemolymph, probably delivering essential amino acids and riboflavin to the host from nitrogen substrates derived from nitrogen fixation.	Nitrogen fixation,Nutrient provision,Digestive enzymes,Sugar metabolism	None	None	Metatranscriptomic Analysis of the Bacterial Symbiont Dactylopiibacterium carminicum from the Carmine Cochineal Dactylopius coccus (Hemiptera: Coccoidea: Dactylopiidae)	10.3390/life9010004	LIFE-BASEL	2019	None
RISB1386	Symbiont	Hemiptera	Pentatomidae	Pentatominae	Plautia stali	Pseudomonadota	Enterobacterales	Pantoea	Genus	Pantoea	Pantoea	Bacteria	Extracellular	Vertical	Affect oviposition behavior, morphogenesis and development	Growth and Development	None	None	Morphogenesis and development of midgut symbiotic organ of the stinkbug Plautia stali (Hemiptera: Pentatomidae)	10.1186/s40851-019-0134-2	ZOOLOGICAL LETTERS	2019	None
RISB1387	Symbiont	Diptera	Glossinidae	None	Glossina	Pseudomonadota	Enterobacterales	Wigglesworthia	Genus	Wigglesworthia	Wigglesworthia	Bacteria	Intracellular	None	Wigglesworthia provisions folate (vitamin B9) that pathogenic African trypanosomes exploit in an effort to successfully establish an infection in the vector’s MG	Nutrient provision	None	None	Mutualist-Provisioned Resources Impact Vector Competency	10.1128/mbio.00018-19	MBIO	2019	None
RISB1388	Symbiont	Hemiptera	Cicadellidae	Deltocephalinae	Yamatotettix flavovittatus	Pseudomonadota	None	Candidatus Yamatotia	Genus	Candidatus Yamatotia	Candidatus Yamatotia cicadellidicola	Bacteria	Extracellular	None	suggested as coprimary symbiont	None	None	None	New bacterium symbiont in the bacteriome of the leafhopper Yamatotettix flavovittatus Matsumura	10.1016/j.aspen.2019.06.015	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2019	None
RISB1389	Symbiont	Hemiptera	Aphididae	Aphidinae	Aphis gossypii	Pseudomonadota	Enterobacterales	Buchnera	Genus	Buchnera	Buchnera aphidicola	Bacteria	Intracellular	Vertical	nutrient-provisioning	Nutrient provision	CP042427	None	Obligate bacterial endosymbionts limit thermal tolerance of insect host species	10.1073/pnas.1915307116	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2019	heat exposure of Aphis gossypii enhanced fecundity and had no effect on the Buchnera titer.
RISB1390	Symbiont	Hemiptera	Aphididae	Aphidinae	Aphis fabae	Pseudomonadota	Enterobacterales	Buchnera	Genus	Buchnera	Buchnera aphidicola	Bacteria	Intracellular	Vertical	nutrient-provisioning	Nutrient provision	CP042427	None	Obligate bacterial endosymbionts limit thermal tolerance of insect host species	10.1073/pnas.1915307116	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2019	heat suppressed Buchnera populations in Aphis fabae, which suffered elevated mortality, delayed development and reduced fecundity
RISB1391	Symbiont	Hymenoptera	Apidae	Apinae	Tetragonisca angustula	Actinomycetota	Kitasatosporales	Streptomyces	Genus	Streptomyces	Streptomyces sp.	Bacteria	None	None	producing antibiotic, exhibit antimicrobial activity, mainly to Gram-positive bacteria and fungi	Antimicrobials	None	None	Phylogenetic analyses of antibiotic-producing Streptomyces sp. isolates obtained from the stingless-bee Tetragonisca angustula (Apidae: Meliponini)	10.1099/mic.0.000754	MICROBIOLOGY-SGM	2019	None
