Insect Species	Order	Family	Subfamily	Genus	Common Name	Description	Figure Source	Genome ID	Genome Level	BUSCO
Photuris versicolor	Coleoptera	Lampyridae	Photurinae	Photuris	None	Photuris versicolor, is a species complex of firefly common throughout the Eastern United States. Fireflies famously use flash-based visual signalling to find mates at a distance and each species of firefly has a unique flash pattern sequence that males and females of the same species use to identify one another. Researchers have documented the ability of female P. versicolor to hunt males of other firefly species by mimicking the flash responses of female fireflies of other species. Photuris versicolor appear to target males, such as Photinus pyralis, specifically for the lucibufagin steroids that their prey produce.	Robby Deans@CC BY-NC	None	None	None
Phthorimaea operculella	Lepidoptera	Gelechiidae	Gelechiinae	Phthorimaea	None	Phthorimaea operculella, also known as the potato tuber moth or tobacco splitworm, is a moth of the family Gelechiidae. It is an oligophagous insect that feeds on the plant family Solanaceae and is especially known for being a major pest of potato crops. Currently farmers utilize insecticides, parasites, and sprinkler irrigation in order to prevent P. operculella from infesting their croplands.	Wikipedia	None	None	None
Phyllonorycter blancardella	Lepidoptera	Gracillariidae	Lithocolletinae	Phyllonorycter	None	Phyllonorycter blancardella, the spotted tentiform leafminer, is a moth of the family Gracillariidae. It is known from all of Europe, east to Ukraine and central Anatolia. It is also known throughout North America including Nova Scotia, Quebec, Ontario, Wisconsin and California.	Wikipedia	None	None	None
Phyllonorycter mespilella	Lepidoptera	Gracillariidae	Lithocolletinae	Phyllonorycter	None	Phyllonorycter mespilella is a moth of the family Gracillariidae. It is found from Germany to the Iberian Peninsula, Sardinia, Italy and the Carpathian Mountains and from Ireland to southern Russia. It also occurs over much of western North America, from California north to British Columbia, and east to Utah and New Mexico.	Wikipedia	None	None	None
Physopelta gutta	Hemiptera	Largidae	None	Physopelta	None	Description is currently not available	Wikipedia	None	None	None
Pieris brassicae	Lepidoptera	Pyralidae	Galleriinae	Pieris	large white,cabbage butterfly, cabbage white, cabbage moth or large cabbage white	Pieris brassicae is a butterfly in the family Pieridae. It is a close relative of the small white, Pieris rapae.The large white is common throughout Europe, North Africa and Asia.	Thomas Bresson@BY-NC	GCA_905147105.1	Chromosome	C:98.1%[S:97.5%,D:0.6%],F:0.4%,M:1.5%,n:1367
Pieris canidia	Lepidoptera	Pieridae	Pierinae	Pieris	None	Pieris canidia, the Indian cabbage white, is a butterfly in the family Pieridae found in India, Nepal and Indochina. Pieris rapae is one of the most closely related species in the Pieridae.	Wikipedia	None	None	None
Pieris rapae	Lepidoptera	Pyralidae	Galleriinae	Pieris	small white, cabbage white or cabbage butterfly, small cabbage white, white butterfly	Pieris rapae is a small- to medium-sized butterfly species of the whites-and-yellows family Pieridae. The butterfly is recognizable by its white color with small black dots on its wings, and it can be distinguished from P. brassicae by the smaller size and lack of the black band at the tip of their forewings.	Nadja Baumgartner@BY-NC	GCA_905147795.1	Chromosome	C:95.1%[S:94.2%,D:0.9%],F:1.3%,M:3.6%,n:1367
Piezodorus guildinii	Hemiptera	Pentatomidae	Pentatominae	Piezodorus	 red-banded stink bug	Piezodorus guildinii is a species of stink bug in the family Pentatomidae. Other common names include the small green stink bug and alfalfa bug.Redbanded stink bugs are neotropical and range in geographic distribution from Argentina north to the southern United States, where they can be frequent pests of soybeans.	Scott Buckel@BY-NC	GCA_000786065.1	Scaffold	C:0.2%[S:0.2%,D:0.0%],F:0.1%,M:99.7%,n:1367
Pimelocerus perforatus	Coleoptera	Curculionidae	Molytinae	Pimelocerus	None	Description is currently not available	Wikipedia	None	None	None
Pineus strobi	Hemiptera	Adelgidae	None	Pineus	None	Description is currently not available	Wikipedia	None	None	None
Piocoris varius	Hemiptera	Lygaeidae	Geocoridae	Piocoris	None	Description is currently not available	Wikipedia	None	None	None
Plagiodera versicolora	Coleoptera	Chrysomelidae	Chrysomelinae	Plagiodera	None	Plagiodera versicolora is a species of leaf beetle  in the genus Plagiodera.	Wikipedia	GCA_037013635.1	Chromosome	C:99.27%[S:93.78%,D:5.49%],F:0.07%,M:0.66%,n:1367
Planococcus citri	Hemiptera	Pseudococcidae	None	Planococcus	None	Planococcus citri, commonly known as the citrus mealybug, is a species of mealybugs native to Asia. It has been introduced to the rest of the world, including Europe, the Americas, and Oceania, as an agricultural pest. It is associated with citrus, but it attacks a wide range of crop plants, ornamental plants, and wild flora.	Wikipedia	GCA_950023065.1	Chromosome	C:95.32%[S:88.66%,D:6.66%],F:0.51%,M:4.17%,n:1367
Planococcus ficus	Hemiptera	Pseudococcidae	None	Planococcus	None	Planococcus ficus, commonly known as the vine mealybug, is a species of mealybug, belonging to the family Pseudococcidae, native to tropical and subtropical regions. The vine mealybug is found in Europe, Northern Africa, Southern Africa, the Americas, and the Middle East. The vine mealybug is invasive to weedy plants in many different regions of the world.	Wikipedia	None	None	None
Plateumaris braccata	Coleoptera	Chrysomelidae	Donaciinae	Plateumaris	None	Plateumaris braccata is a species of leaf beetle from the Donaciinae subfamily which can be found in the western part of the Palearctic region, from Spain to Central Asia.	Wikipedia	None	None	None
Plateumaris consimilis	Coleoptera	Chrysomelidae	Donaciinae	Plateumaris	None	Description is currently not available	Wikipedia	None	None	None
Plateumaris pusilla	Coleoptera	Chrysomelidae	Donaciinae	Plateumaris	None	Plateumaris pusilla is a species of aquatic leaf beetle in the family Chrysomelidae. It is found in North America.	Wikipedia	None	None	None
Plateumaris rustica	Coleoptera	Chrysomelidae	Donaciinae	Plateumaris	None	Donacia rustica Kunze, 1818	Wikipedia	None	None	None
Plateumaris sericea	Coleoptera	Chrysomelidae	Donaciinae	Plateumaris	None	Plateumaris sericea is a species of beetle in the family Chrysomelidae. It is found in the Palearctic.	Wikipedia	None	None	None
Platygerris assimetricus	Hemiptera	Gerridae	None	Platygerris	None	Description is currently not available	Wikipedia	None	None	None
Platypleura kaempferi	Hemiptera	Cicadidae	Cicadinae	Platypleura	None	Description is currently not available	Wikipedia	None	None	None
Platypus cylindrus	Coleoptera	Curculionidae	None	Platypus	None	Platypus cylindrus, commonly known as the oak pinhole borer, is a species of ambrosia beetle in the weevil family Scolytinae. The adults and larvae burrow under the bark of mature oak trees. It is native to Europe.	Wikipedia	GCA_949748235.1	Chromosome	C:99.12%[S:98.46%,D:0.66%],F:0.00%,M:0.88%,n:1367
Platypus koryoensis	Coleoptera	Curculionidae	None	Platypus	None	Description is currently not available	Wikipedia	None	None	None
Platyusa sonomae	Coleoptera	Staphylinidae	Aleocharinae	Platyusa	None	Platyusa is a monotypic genus of rove beetles in the family Staphylinidae. There is one described species in Platyusa, P. sonomae, found in the western United States.	None	None	None	None
Plautia stali	Hemiptera	Pentatomidae	Pentatominae	Plautia	None	Description is currently not available	Wikipedia	None	None	None
Plinachtus basalis	Hemiptera	Coreidae	None	Plinachtus	None	Description is currently not available	Wikipedia	None	None	None
Plinachtus bicoloripes	Hemiptera	Coreidae	None	Plinachtus	None	Description is currently not available	Wikipedia	None	None	None
Plodia interpunctella	Lepidoptera	Pyralidae	Phycitinae	Plodia	Indianmeal moth,Indian meal moth and Indian-meal moth,weevil moth, pantry moth, flour moth or grain moth.	Plodia interpunctella is a pyraloid moth of the family Pyralidae. The almond moth (Cadra cautella) and the raisin moth (Cadra figulilella) are commonly confused with the Indian-meal moth due to similar food sources and appearance. The species was named after being noted for feeding on Indian-meal or cornmeal and it does not occur natively in India as the aberrant usage of Indian meal moth would suggest. It is also not to be confused with the Mediterranean flour moth (Ephestia kuehniella), another common pest of stored grains.	Wolf-Achim and Hanna Roland@BY-NC	GCA_900182495.1	Scaffold	C:97.0%[S:95.7%,D:1.3%],F:0.7%,M:2.3%,n:1367
Plutella xylostella	Lepidoptera	Plutellidae	None	Plutella	diamondback moth or cabbage moth	Plutella xylostella is a moth species of the family Plutellidae and genus Plutella. The small, grayish-brown moth sometimes has a cream-colored band that forms a diamond along its back. The species may have originated in Europe, South Africa, or the Mediterranean region, but it has now spread worldwide.	Martin Grimm@BY-NC	GCA_905116875.1	Scaffold	C:94.9%[S:94.4%,D:0.5%],F:1.8%,M:3.3%,n:1367
Pnigalio soemius	Hymenoptera	Eulophidae	Eulophinae	Pnigalio	None	Description is currently not available	Wikipedia	None	None	None
Polionemobius taprobanensis	Orthoptera	Trigonidiidae	Nemobiinae	Polionemobius	None	Description is currently not available	Wikipedia	None	None	None
Polybia plebeja	Hymenoptera	Vespidae	Polistinae	Polybia	None	Description is currently not available	Wikipedia	None	None	None
Polygraphus proximus	Coleoptera	Bostrichidae	Lyctinae	Polygraphus	None	Description is currently not available	Wikipedia	None	None	None
Polyommatus bellargus	Lepidoptera	Lycaenidae	Polyommatinae	Polyommatus	None	The Adonis blue  is a butterfly in the family Lycaenidae. It inhabits the Palearctic realm .	Paul Cools@CC BY-NC	None	None	None
Polyplax serrata	Phthiraptera	Polyplacidae	None	Polyplax	None	Description is currently not available	Wikipedia	GCA_037055365.1	Contig	C:98.47%[S:98.32%,D:0.15%],F:0.29%,M:1.24%,n:1367
Potamobates horvathi	Hemiptera	Gerridae	None	Potamobates	None	Description is currently not available	Wikipedia	None	None	None
Potamobates tridentatus	Hemiptera	Gerridae	None	Potamobates	None	Description is currently not available	Wikipedia	None	None	None
Prays oleae	Lepidoptera	Praydidae	None	Prays	None	Prays oleae  is a moth of the family Plutellidae found in Europe.	Wikipedia	None	None	None
Prosimulium fungiforme	Diptera	Simuliidae	Simuliinae	Prosimulium	None	Description is currently not available	Wikipedia	None	None	None
Protaetia brevitarsis	Coleoptera	Bostrichidae	Lyctinae	Protaetia	the white-spotted flower chafer	Protaetia brevitarsis is an important Scarabaeidae insect that is distributed in most Asian countries.	Paul B.@BY-NC-ND	None	Chromosome	C:90.7%[S:83.5%,D:7.2%],F:3.4%,M:5.9%,n:1367
Psammotermes hypostoma	Blattodea	Rhinotermitidae	Psammotermitinae	Psammotermes	None	Description is currently not available	Wikipedia	None	None	None
Pseudococcus longispinus	Hemiptera	Pseudococcidae	None	Pseudococcus	long-tailed mealybug	Pseudococcus longispinus is a species of mealybug in the family Pseudococcidae.	Jeff Fryett@BY	GCA_900064475.1	Scaffold	C:91.0%[S:89.8%,D:1.2%],F:4.5%,M:4.5%,n:1367
Pseudolynchia canariensis	Diptera	Hippoboscidae	Ornithomyinae	Pseudolynchia	None	Pseudolynchia canariensis, the pigeon louse fly or pigeon fly, is a species of biting fly in the family of louse flies, Hippoboscidae.	Wikipedia	None	None	None
Pseudomimeciton antennatum	Coleoptera	Staphylinidae	Aleocharinae	Pseudomimeciton	None	Description is currently not available	Wikipedia	None	None	None
Pseudomyrmex ferrugineus	Hymenoptera	Formicidae	Pseudomyrmecinae	Pseudomyrmex	None	Description is currently not available	Wikipedia	None	None	None
Pseudomyrmex gracilis	Hymenoptera	Formicidae	Pseudomyrmecinae	Pseudomyrmex	None	Pseudomyrmex gracilis is a wide ranging species that is quite variable in its appearance. This ant can also be found in many different habitats. Pseudomyrmex gracilis typically nest in dead twigs or branches but will occasional be found in myrmecophytic plants. When nesting in a myrmecophyte, they play the role of a parasite of the ant-plant mutualism.	Richard Stovall@BY	GCA_002006095.1	Scaffold	C:99.2%[S:98.5%,D:0.7%],F:0.1%,M:0.7%,n:1367
Pseudoophonus rufipes	Coleoptera	Carabidae	Harpalinae	Pseudoophonus	None	Description is currently not available	Wikipedia	None	None	None
Pseudoregma bambucicola	Hemiptera	Hormaphididae	None	Pseudoregma	None	Pseudoregma bambucicola, the bamboo woolly aphid, is an aphid in the superfamily Aphidoidea in the order Hemiptera. It is a true bug and sucks sap from plants.	Wikipedia	None	None	None
Psilothrix viridicoerulea	Coleoptera	Melyridae	Dasytinae	Psilothrix	None	Psilothrix viridicoerulea is a species of soft-winged flower beetle belonging to the family Melyridae, subfamily Dasytinae.	Wikipedia	None	None	None
Psylliodes attenuata	Coleoptera	Chrysomelidae	Galerucinae	Psylliodes	None	Description is currently not available	Wikipedia	None	None	None
Psylliodes chrysocephala	Coleoptera	Chrysomelidae	Galerucinae	Psylliodes	None	Psylliodes chrysocephala or Psylliodes chrysocephalus, commonly known as the cabbage-stem flea beetle, is a species of leaf beetle situated in the subfamily Galerucinae and the tribe Alticini .	Wikipedia	None	None	None
Purohita taiwanensis	Hemiptera	Aleyrodidae	Aleyrodinae	Purohita	None	Description is currently not available	Wikipedia	None	None	None
Puto superbus	Hemiptera	Pseudococcidae	None	Puto	None	Description is currently not available	Wikipedia	None	None	None
Pycna repanda	Coleoptera	Cicadidae	Cicadinae	Pycna	None	Description is currently not available	Wikipedia	None	None	None
Pylorgus colon	Hemiptera	Lygaeidae	Lygaeidae	Pylorgus	None	Description is currently not available	Wikipedia	None	None	None
Pyractomena borealis	Coleoptera	Lampyridae	Lampyrinae	Pyractomena	None	Pyractomena borealis commonly known as the Spring tree-top flasher is a species of firefly in the beetle family Lampyridae. It is found in North America, where it has a very wide distribution, as it is known from Alberta east to the Maritime Provinces of Canada, and south to all US states east of the Mississippi River.	Wikipedia	None	None	None
Pyrrhocoris apterus	Hemiptera	Pyrrhocoridae	None	Pyrrhocoris	None	The firebug, Pyrrhocoris italicus, is a common insect of the family Pyrrhocoridae. Easily recognizable due to its striking red and black coloration, it may be confused with the similarly coloured though unrelated Corizus hyoscyami . Pyrrhocoris apterus is distributed throughout the Palaearctic from the Atlantic coast of Europe to northwest China. It has also been reported from the United States, Central America, and India, and is also found in Australia. It has been reported as recently expanding its distribution northwards into mainland United Kingdom and eastward on to the coast of the Mediterranean Sea. They are frequently observed to form aggregations, especially as immature forms, containing from tens to perhaps a hundred individuals.	Wikipedia	None	None	None
Recilia dorsalis	Hemiptera	Aleyrodidae	Aleyrodinae	Recilia	None	Maiestas dorsalis is a species of bug from the Cicadellidae family that may be called the "zig-zag leafhopper" and is a rice pest.  It can be found in India, Japan, Korea, Malaysia, the Philippines, Sri Lanka, Borneo island, Taiwan, and Henan, province of China. It was formerly placed within Recilia and much of the rice pest information is under R. dorsalis, but a 2009 revision moved it to Maiestas.	Aniruddha Singhamahapatra@CC BY-NC	None	None	None
Reticulitermes flaviceps	Blattodea	Rhinotermitidae	Heterotermitinae	Reticulitermes	None	Description is currently not available	Wikipedia	None	None	None
Reticulitermes flavipes	Blattodea	Rhinotermitidae	Heterotermitinae	Reticulitermes	None	Reticulitermes flavipes, the eastern subterranean termite, is the most common termite found in North America. These termites are the most economically important wood destroying insects in the United States and are classified as pests. They feed on cellulose material such as the structural wood in buildings, wooden fixtures, paper, books, and cotton. A mature colony can range from 20,000 workers to as high as 5 million workers and the primary queen of the colony lays 5,000 to 10,000 eggs per year to add to this total.	Wikipedia	None	None	None
Rhabdoscelus lineaticollis	Coleoptera	Curculionidae	Dryophthorinae	Rhabdoscelus	None	Description is currently not available	Wikipedia	None	None	None
Rhagoletis cerasi	Diptera	Tephritidae	Trypetinae	Rhagoletis	None	Rhagoletis cerasi  is a species of fruit fly in the family Tephritidae.	Wikipedia	GCA_029783565.1	Scaffold	C:78.94%[S:58.38%,D:20.56%],F:7.02%,M:13.97%,n:1367
Rhagoletis pomonella	Diptera	Tephritidae	Trypetinae	Rhagoletis	apple maggot or railroad worm	Rhagoletis pomonella is a species of fruit fly, and a pest of several types of fruits, mainly apples. This species evolved about 150 years ago through a sympatric shift from the native host hawthorn to the domesticated apple species Malus domestica in the northeastern United States. This fly is believed to have been accidentally spread to the western United States from the endemic eastern United States region through contaminated apples at multiple points throughout the 20th century. The apple maggot uses Batesian mimicry as a method of defense, with coloration resembling that of the forelegs and pedipalps of a jumping spider (family Salticidae).	CBG Photography Group, Centre for Biodiversity Genomics@CC0	GCA_013731165.1	Scaffold	C:93.9%[S:78.6%,D:15.3%],F:2.0%,M:4.1%,n:1367
Rheumatobates bergrothi	Hemiptera	Gerridae	None	Rheumatobates	None	Description is currently not available	Wikipedia	None	None	None
Rheumatobates mangrovensis	Hemiptera	Gerridae	Rhagadotarsinae	Rheumatobates	None	Description is currently not available	Wikipedia	None	None	None
Rheumatobates ornatus	Hemiptera	Gerridae	None	Rheumatobates	None	Description is currently not available	Wikipedia	None	None	None
Rhizoecus albidus	Hemiptera	Pseudococcidae	None	Rhizoecus	None	Description is currently not available	Wikipedia	None	None	None
Rhodnius prolixus	Hemiptera	Reduviidae	Triatominae	Rhodnius	None	Rhodnius prolixus is the principal triatomine vector of the Chagas parasite due to both its sylvatic and domestic populations in northern South America as well as to its exclusively domestic populations in Central America. It has a wide range of ecotopes, mainly savanna and foothills with an altitude of between 500 to 1,500 metres (1,640 to 4,921 ft) above sea level and temperatures of 16 to 28 °C (61 to 82 °F). Sylvatic R. prolixus, as virtually all Rhodnius spp., is primarily associated with palm tree habitats and has a wide range of hosts including birds, rodents, marsupials, sloths, and reptiles.	Annika Lindqvist@BY	None	Chromosome	C:95.5%[S:94.8%,D:0.7%],F:2.0%,M:2.5%,n:1367
Rhopalosiphum maidis	Hemiptera	Aphididae	Aphidinae	Rhopalosiphum	corn leaf aphid and corn aphid	Rhopalosiphum maidis is an insect, and a pest of maize and other crops. It has a nearly worldwide distribution and is typically found in agricultural fields, grasslands, and forest-grassland zones. Among aphids that feed on maize, it is the most commonly encountered and most economically damaging, particularly in tropical and warmer temperate areas. In addition to maize, R. maidis damages rice, sorghum, and other cultivated and wild monocots.	Ron Matsumoto@BY-NC	GCA_003676215.3	Chromosome	C:97.0%[S:94.8%,D:2.2%],F:0.7%,M:2.3%,n:1367
Rhopalosiphum padi	Hemiptera	Aphididae	Aphidinae	Rhopalosiphum	Bird cherry-oat aphid	Rhopalosiphum padi is an aphid in the superfamily Aphidoidea in the order Hemiptera. It is a true bug and sucks sap from plants. It is considered a major pest in cereal crops, especially in temperate regions, as well as other hosts in parts of Northern Europe. It is the principal vector of many viruses in economically important field crops.	Jesse Rorabaugh@CC0	None	Scaffold	C:96.1%[S:93.4%,D:2.7%],F:1.0%,M:2.9%,n:1367
Rhopalotria slossonae	Coleoptera	Belidae	Oxycoryninae	Rhopalotria	None	Description is currently not available	Wikipedia	None	None	None
Rhynchophorus ferrugineus	Coleoptera	Curculionidae	Dryophthorinae	Rhynchophorus	red palm weevil, Asian palm weevil or sago palm weevil	Rhynchophorus ferrugineus is one of two species of snout beetle. The adult beetles are relatively large, ranging between 2 and 4 centimetres (1 and 1 1⁄2 inches) long, and are usually a rusty red colour—but many colour variants exist and have often been classified as different species (e.g., Rhynchophorus vulneratus). Weevil larvae can excavate holes in the trunks of palm trees up to 1 metre (3.3 ft) long, thereby weakening and eventually killing the host plant. As a result, the weevil is considered a major pest in palm plantations, including the coconut palm, date palm and oil palm.	Michael Lai@BY-NC	GCA_014462685.1	Scaffold	C:94.5%[S:92.2%,D:2.3%],F:1.2%,M:4.3%,n:1367
Rhyzopertha dominica	Coleoptera	Bostrichidae	Dinoderinae	Rhyzopertha	None	Rhyzopertha is a monotypic genus of beetles in the family Bostrichidae, the false powderpost beetles. The sole species, Rhyzopertha dominica, is known commonly as the lesser grain borer, American wheat weevil, Australian wheat weevil, and stored grain borer. It is a beetle commonly found within store bought products and pest of stored cereal grains located worldwide. It is also a major pest of peanuts. The first documentation of wheat infestation by R. dominica was observed in Australia. R. dominica are usually reddish brown to dark brown in coloration, vary in sizes, elongated and cylindrical.	Wikipedia	None	None	None
Riptortus clavatu	Hemiptera	Coreidae	None	Riptortus	None	Description is currently not available	Wikipedia	None	None	None
Riptortus clavatus	Hemiptera	Alydidae	None	Riptortus	None	Description is currently not available	Wikipedia	None	None	None
Riptortus linearis	Hemiptera	Alydidae	None	Riptortus	None	Riptortus linearis is a species of true bug in the family Alydidae. It is a pest of sorghum in India.	Wikipedia	None	None	None
Riptortus pedestris	Hemiptera	Aleyrodidae	Aleyrodinae	Riptortus	none	Riptortus pedestris is a species of the family Alydidae.	budak@BY-NC	GCA_019009955.1	Chromosome	C:83.7%[S:82.2%,D:1.5%],F:1.5%,M:14.8%,n:1367
Russelliana capsici	Hemiptera	Psyllidae	Aphalaroidinae	Russelliana	None	Description is currently not available	Wikipedia	None	None	None
Samia cynthia	Lepidoptera	Pyralidae	Galleriinae	Samia	None	Samia cynthia, the ailanthus silkmoth, is a saturniid moth, used to produce silk fabric but not as domesticated as the silkworm, Bombyx mori. The moth has very large wings of 113–125 mm , with a quarter-moon shaped spot on both the upper and lower wings, whitish and yellow stripes and brown background. There are eyespots on the outer forewings. The species was first described by Dru Drury in 1773.	Wikipedia	None	None	None
Samia ricini	Lepidoptera	Saturniidae	Saturniinae	Samia	ailanthus silkmoth	Samia cynthia is a saturniid moth, used to produce silk fabric but not as domesticated as the silkworm, Bombyx mori. The moth has very large wings of 113–125 mm (4.4–4.9 in), with a quarter-moon shaped spot on both the upper and lower wings, whitish and yellow stripes and brown background. There are eyespots on the outer forewings. The species was first described by Dru Drury in 1773.	David Marquina Reyes@BY-NC-ND	None	Chromosome	C:86.6%[S:86.2%,D:0.4%],F:3.8%,M:9.6%,n:1367
Saturniidae	Lepidoptera	Saturniidae	None	Saturniidae	None	Saturniidae, members of which are commonly named the saturniids, is a family of Lepidoptera with an estimated 2,300 described species. The family contains some of the largest species of moths in the world. Notable members include the emperor moths, royal moths, and giant silk moths .	Wikipedia	None	None	None
Scaphoideus titanus	Hemiptera	Cicadellidae	Deltocephalinae	Scaphoideus	None	Scaphoideus titanus, the American grapevine leafhopper, is an insect of the leafhopper family  which feeds on various plants of the family Vitaceae. Native to North America, it was introduced by accident to Europe where it has become a pest by acting as a vector of the grapevine phytoplasma disease flavescence dorée. Mating requires species-specific vibrational patterns that males emit to the females, which are often victim to reproductive interference, including vibrational mating disruption caused by humans for pest control purposes. Nymphs do not engage in vibrational communication.	Wikipedia	None	None	None
Scaptomyza nigrita	Diptera	Glossinidae	None	Scaptomyza	None	Description is currently not available	Wikipedia	None	None	None
Scaptotrigona depilis	Hymenoptera	Apidae	Apinae	Scaptotrigona	None	Description is currently not available	Wikipedia	None	None	None
Sceliphron caementarium	Hymenoptera	Sphecidae	Sceliphrinae	Sceliphron	None	Sceliphron caementarium, also known as the yellow-legged mud-dauber wasp, black-and-yellow mud dauber , or black-waisted mud-dauber , is a species of sphecid wasp. There are some 30 other species of Sceliphron that occur throughout the world, though in appearance and habits they are quite similar to S. caementarium.	Wikipedia	None	None	None
Sceptobius lativentris	Coleoptera	Staphylinidae	Aleocharinae	Sceptobius	None	Sceptobius lativentris is a species of rove beetle in the family Staphylinidae. It is found in Central America and North America.	Alice Abela@	None	None	None
Schistocerca gregaria	Orthoptera	Acrididae	Cyrtacanthacridinae	Schistocerca	None	The desert locust  is a species of locust, a periodically swarming, short-horned grasshopper in the family Acrididae. They are found primarily in the deserts and dry areas of northern and eastern Africa, Arabia, and southwest Asia. During population surge years, they may extend north into parts of Southern Europe, south into Eastern Africa, and east in northern India. The desert locust shows periodic changes in its body form and can change in response to environmental conditions, over several generations, from a solitary, shorter-winged, highly fecund, non-migratory form to a gregarious, long-winged, and migratory phase in which they may travel long distances into new areas. In some years, they may thus form locust plagues, invading new areas, where they may consume all vegetation including crops, and at other times, they may live unnoticed in small numbers.	Craig Evans@	None	None	None
Schlechtendalia chinensis	Hemiptera	Aphididae	Eriosomatinae	Schlechtendalia	Chinese sumac aphid	Schlechtendalia chinensis is an aphid species, and the only species in the genus Schlechtendalia.	onidiras-iNaturalist@BY-NC	GCA_019022885.1	Chromosome	C:94.4%[S:93.5%,D:0.9%],F:1.5%,M:4.1%,n:1367
Scirpophaga incertulas	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga	the yellow stem borer or rice yellow stem borer	Scirpophaga incertulas, the yellow stem borer or rice yellow stem borer, is a species of moth of the family Crambidae. It was described by Francis Walker in 1863.	Wikipedia@None	None	Chromosome	C:95.4%[S:88.8%,D:6.6%],F:1.5%,M:3.1%,n:1367
Sesamia inferens	Lepidoptera	Noctuidae	Amphipyrinae	Sesamia	None	Sesamia inferens, the Asiatic pink stem borer,  gramineous stem borer, pink borer, pink rice borer, pink rice stem borer, pink stem borer, purple borer, purple stem borer or purplish stem borer, is a moth of the family Noctuidae. The species was first described by Francis Walker in 1856. It is found from Pakistan, India, Sri Lanka, Myanmar to Japan and the Solomon Islands. A polyphagous species, it is a major pest in many crops worldwide.	Wikipedia	GCA_037179545.1	Chromosome	C:99.85%[S:98.90%,D:0.95%],F:0.00%,M:0.15%,n:1367
Shelfordella lateralis	Blattodea	Blattidae	Blattinae	Shelfordella	None	Shelfordella lateralis	Wikipedia	None	None	None
Sigaus australis	Orthoptera	Anostostomatidae	Deinacridinae	Sigaus	None	Sigaus australis is the most common alpine grasshopper found in New Zealand. It can be found in the southern half of the South Island above the tree line. Sigaus australis was described in 1897 by Frederick Hutton. Like all of New Zealand sub-alpine and alpine grasshoppers S. australis has a 2 or 3 years life cycle. Individuals can survive the cold by freezing solid at any life stage, at any time of the year. Sigaus australis adults are relatively large grasshoppers . The genus Sigaus is endemic to New Zealand.	Wikipedia	None	None	None
Simulium tani	Diptera	Simuliidae	Simuliinae	Simulium	None	Description is currently not available	Wikipedia	None	None	None
Simulium vittatum	Diptera	Simuliidae	Simuliinae	Simulium	None	Description is currently not available	Wikipedia	None	None	None
Sinodendron cylindricum	Coleoptera	Lucanidae	Syndesinae	Sinodendron	None	Sinodendron cylindricum, the rhinoceros stag beetle, horned stag beetle, or simply the rhinoceros beetle, is a species of stag beetle native to Europe. It is characterised by a clear sexual dimorphism.	Wikipedia	None	None	None
Sipalinus gigas	Coleoptera	Curculionidae	Dryophthorinae	Sipalinus	None	Sipalinus gigas is a species of beetles belonging to the family Curculionidae.	Wikipedia	None	None	None
Sipha maydis	Hemiptera	Aphididae	Chaitophorinae	Sipha	None	Sipha maydis is a species of aphid. It is a pest of millets.	Wikipedia	GCA_034509805.1	Contig	C:95.68%[S:91.88%,D:3.80%],F:1.17%,M:3.15%,n:1367
Sirex juvencus	Hymenoptera	Formicidae	Pseudomyrmecinae	Sirex	None	Ichneumon juvencus Linnaeus, 1758	Wikipedia	None	None	None
Sirex nitobei	Hymenoptera	Siricidae	None	Sirex	None	Description is currently not available	Wikipedia	None	None	None
Sirex noctilio	Hymenoptera	Siricidae	None	Sirex	sirex woodwasp	The sirex woodwasp is a species of horntail, native to Europe, Asia, and northern Africa. Adults vary in length from 9 to 36 mm.	bixaurin@CC BY-NC	None	None	None
Sitobion avenae	Hemiptera	Aphididae	Aphidinae	Sitobion	None	Sitobion avenae, the English grain aphid, is an aphid in the superfamily Aphidoidea in the order Hemiptera. It is a true bug and sucks sap from plants. It lives on grasses, sedge and rushes and can be a significant pest of cereals.	Wikipedia	None	None	None
Sitobion miscanthi	Hemiptera	Aphididae	Aphidinae	Sitobion	Indian Grain Aphid	Sitobion miscanthi is an aphid in the superfamily Aphidoidea in the order Hemiptera. It is a true bug and sucks sap from cereal plants, making it a pest of wheat production.	Xin Jiang@BY	GCA_008086715.1	Chromosome	C:92.4%[S:88.7%,D:3.7%],F:0.9%,M:6.7%,n:1367
Sitona obsoletus	Coleoptera	Curculionidae	Entiminae	Sitona	None	Description is currently not available	Wikipedia	None	None	None
Sitophilus oryzae	Coleoptera	Curculionidae	Dryophthorinae	Sitophilus	rice weevil	Sitophilus oryzae is a stored product pest which attacks seeds of several crops, including wheat, rice, and maize.	Olaf Leillinger@BY-SA	GCA_002938485.2	Scaffold	C:98.4%[S:96.5%,D:1.9%],F:0.4%,M:1.2%,n:1367
Sitophilus sp.	Coleoptera	Curculionidae	Dryophthorinae	Sitophilus	None	Description is currently not available	Wikipedia	None	None	None
