序号	记录类型	分类目	分类科	分类亚科	昆虫名称	共生体分类门	共生体分类目	共生体分类属	共生体分类级别	共生体分类阶元	共生体名称	种类	功能	功能标签	共生体序列数据	参考文献	doi号	期刊	出版年份	备注
1427	Symbiont	Lepidoptera	Lycaenidae	Polyommatinae	Maculinea alcon	Pseudomonadota	Enterobacterales	Serratia	Genus	Serratia	Serratia entomophila	Bacteria	may play a specific role in the production of deceptive pyrazines	Chemical biosynthesis	None	The Microbiome of the Maculinea-Myrmica Host-Parasite Interaction	10.1038/s41598-019-44514-7	SCIENTIFIC REPORTS	2019	None
1428	Symbiont	Coleoptera	Curculionidae	Dryophthorinae	Rhynchophorus ferrugineus	Pseudomonadota	Enterobacterales	Enterobacter	Genus	Enterobacter	Enterobacter cloacae	Bacteria	promote the development and body mass gain of RPW larvae by improving their nutrition metabolism	Nutrient provision,Growth and Development	None	The Promoting Effect of Gut Microbiota on Growth and Development of Red Palm Weevil, Rhynchophorus ferrugineus (Olivier) (Coleoptera: Dryophthoridae) by Modulating Its Nutritional Metabolism	10.3389/fmicb.2019.01213	FRONTIERS IN MICROBIOLOGY	2019	None
1429	Symbiont	Coleoptera	Curculionidae	Dryophthorinae	Rhynchophorus ferrugineus	Pseudomonadota	Enterobacterales	Enterobacter	Genus	Enterobacter	Enterobacter	Bacteria	Anti-phytopathogenic fungi activity; growth and development	Antimicrobials	None	The Promoting Effect of Gut Microbiota on Growth and Development of Red Palm Weevil, Rhynchophorus ferrugineus (Olivier) (Coleoptera: Dryophthoridae) by Modulating Its Nutritional Metabolism	10.3389/fmicb.2019.01212	FRONTIERS IN MICROBIOLOGY	2019	None
1430	Symbiont	Coleoptera	Curculionidae	Dryophthorinae	Rhynchophorus ferrugineus	Bacillota	Lactobacillales	Lactococcus	Genus	Lactococcus	Lactococcus lactis	Bacteria	promote the development and body mass gain of RPW larvae by improving their nutrition metabolism	Nutrient provision,Growth and Development	None	The Promoting Effect of Gut Microbiota on Growth and Development of Red Palm Weevil, Rhynchophorus ferrugineus (Olivier) (Coleoptera: Dryophthoridae) by Modulating Its Nutritional Metabolism	10.3389/fmicb.2019.01212	FRONTIERS IN MICROBIOLOGY	2019	None
1431	Symbiont	Lepidoptera	Pyralidae	Galleriinae	Cydia pomonella	Ascomycota	Serinales	Metschnikowia	Genus	Metschnikowia	Metschnikowia	Fungi	provide nutritional services and accelerate host development	Nutrient provision,Growth and Development	None	The role of temperature, pH and nutrition in process development of the unique oleaginous yeast Metschnikowia pulcherrima	10.1002/jctb.6301	Journal of Chemical Technology & Biotechnology	2019	None
1432	Metagenome	Diptera	Culicidae	Culicinae	Culex pipiens	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	alter host reproductive behavior	None	ERX2541940-ERX2541943	The Wolbachia mobilome in Culex pipiens includes a putative plasmid	10.1038/s41467-019-08973-w	NATURE COMMUNICATIONS	2019	None
1433	Symbiont	Hemiptera	Aphididae	Aphidinae	Acyrthosiphon pisum	Pseudomonadota	Enterobacterales	Serratia	Genus	Serratia	Serratia symbiotica	Bacteria	enzymes from S. symbiotica may facilitate the digestion of plant proteins, thereby helping to suppress plant defense	Digestive enzymes,Plant defense	None	Transmission of a Protease-Secreting Bacterial Symbiont Among Pea Aphids via Host Plants	10.3389/fphys.2019.00438	FRONTIERS IN PHYSIOLOGY	2019	None
1434	Symbiont	Coleoptera	Curculionidae	Scolytinae	Ips typographus	Ascomycota	Microascales	Endoconidiophora	Genus	Endoconidiophora	Endoconidiophora polonica	Fungi	volatile compounds produced by Fungi may act as recognition signals for bark beetles to maintain specific microbial communities that might have impact on their fitness	Chemical biosynthesis	None	Volatile organic compounds influence the interaction of the Eurasian spruce bark beetle (Ips typographus) with its fungal symbionts	10.1038/s41396-019-0390-3	ISME JOURNAL	2019	None
1435	Symbiont	Coleoptera	Curculionidae	Scolytinae	Ips typographus	Ascomycota	Ophiostomatales	Grosmannia	Genus	Grosmannia	Grosmannia penicillata	Fungi	volatile compounds produced by Fungi may act as recognition signals for bark beetles to maintain specific microbial communities that might have impact on their fitness	Chemical biosynthesis	None	Volatile organic compounds influence the interaction of the Eurasian spruce bark beetle (Ips typographus) with its fungal symbionts	10.1038/s41396-019-0390-3	ISME JOURNAL	2019	None
1436	Symbiont	Coleoptera	Curculionidae	Scolytinae	Ips typographus	Ascomycota	Ophiostomatales	Grosmannia	Genus	Grosmannia	Grosmannia europhioides	Fungi	volatile compounds produced by Fungi may act as recognition signals for bark beetles to maintain specific microbial communities that might have impact on their fitness	Chemical biosynthesis	None	Volatile organic compounds influence the interaction of the Eurasian spruce bark beetle (Ips typographus) with its fungal symbionts	10.1038/s41396-019-0390-3	ISME JOURNAL	2019	None
1437	Symbiont	Coleoptera	Curculionidae	Scolytinae	Ips typographus	Ascomycota	Ophiostomatales	Ophiostoma	Genus	Ophiostoma	Ophiostoma bicolor	Fungi	volatile compounds produced by Fungi may act as recognition signals for bark beetles to maintain specific microbial communities that might have impact on their fitness	Chemical biosynthesis	None	Volatile organic compounds influence the interaction of the Eurasian spruce bark beetle (Ips typographus) with its fungal symbionts	10.1038/s41396-019-0390-3	ISME JOURNAL	2019	None
1438	Symbiont	Coleoptera	Curculionidae	Scolytinae	Ips typographus	Ascomycota	Ophiostomatales	Ophiostoma	Genus	Ophiostoma	Ophiostoma piceae	Fungi	volatile compounds produced by Fungi may act as recognition signals for bark beetles to maintain specific microbial communities that might have impact on their fitness	Chemical biosynthesis	None	Volatile organic compounds influence the interaction of the Eurasian spruce bark beetle (Ips typographus) with its fungal symbionts	10.1038/s41396-019-0390-3	ISME JOURNAL	2019	None
1439	Symbiont	Diptera	Psychodidae	Phlebotominae	Lutzomyia evansi	Bacteroidota	Cytophagales	Candidatus Cardinium	Genus	Candidatus Cardinium	Cardinium	Bacteria	‘Candidatus Cardinium’ is a recently described bacterium from the Bacteroidetes group involved in diverse reproduction alterations of its arthropod hosts (including cytoplasmic incompatibility, parthenogenesis, and feminization) similar to Wolbachia	Reproductive manipulation	None	Wild specimens of sand fly phlebotomine Lutzomyia evansi, vector of leishmaniasis, show high abundance of Methylobacterium and natural carriage of Wolbachia and Cardinium types in the midgut microbiome	10.1038/s41598-019-53769-z	SCIENTIFIC REPORTS	2019	None
1440	Symbiont	Diptera	Psychodidae	Phlebotominae	Lutzomyia evansi	Pseudomonadota	Hyphomicrobiales	Methylobacterium	Genus	Methylobacterium	Methylobacterium	Bacteria	Methylobacterium can be important in several physiological and metabolic processes in Lu. evansi, which suggests that interactions could occur with Leishmania parasite	Pathogen interaction	None	Wild specimens of sand fly phlebotomine Lutzomyia evansi, vector of leishmaniasis, show high abundance of Methylobacterium and natural carriage of Wolbachia and Cardinium types in the midgut microbiome	10.1038/s41598-019-53769-z	SCIENTIFIC REPORTS	2019	None
1441	Symbiont	Diptera	Psychodidae	Phlebotominae	Lutzomyia evansi	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	regulate host reproduction	Reproductive manipulation	None	Wild specimens of sand fly phlebotomine Lutzomyia evansi, vector of leishmaniasis, show high abundance of Methylobacterium and natural carriage of Wolbachia and Cardinium types in the midgut microbiome	10.1038/s41598-019-53769-z	SCIENTIFIC REPORTS	2019	None
1442	Symbiont	Hymenoptera	Braconidae	Braconinae	Habrobracon hebetor	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	Wolbachia induces cytoplasmic incompatibility (CI) in H. hebetor and affects host mating behavior in favor of its transmission	Reproductive manipulation	None	Wolbachia induce cytoplasmic incompatibility and affect mate preference in Habrobracon hebetor to increase the chance of its transmission to the next generation	10.1016/j.jip.2019.02.005	JOURNAL OF INVERTEBRATE PATHOLOGY	2019	None
1443	Symbiont	Diptera	Tephritidae	Dacinae	Neoceratitis asiatica	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	induce complete cytoplasmic incompatibility	Reproductive manipulation	None	Wolbachia Infection of Neoceratitis asiatica (Diptera: Tephritidae)	10.1653/024.102.0120	FLORIDA ENTOMOLOGIST	2019	None
1444	Symbiont	Hemiptera	Delphacidae	Criomorphinae	Laodelphax striatellus	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia wStri	Bacteria	Wolbachia-infected host embryonic development genes revealed Ddx1 mRNAs, which is required for host viability and in the germ line, accumulated in the posterior region of 3-day-old embryos	Reproductive manipulation	None	Wolbachia localization during Laodelphax striatellus embryogenesis	10.1016/j.jinsphys.2019.05.006	JOURNAL OF INSECT PHYSIOLOGY	2019	None
1445	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Nilaparvata lugens	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	supplement biotin and riboflavin to enhance reproduction in planthoppers	Nutrient provision,Fertility	GCA_007115045.1	Wolbachia supplement biotin and riboflavin to enhance reproduction in planthoppers	10.1038/s41396-019-0559-9	The ISME Journal	2019	None
1446	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Nilaparvata lugens	Pseudomonadota	Enterobacterales	Arsenophonus	Genus	Arsenophonus	Arsenophonus	Bacteria	Arsenophonus strain (S-type) negatively affected the insecticide resistance of the host	Pesticide metabolization	None	A distinct strain of Arsenophonus symbiont decreases insecticide resistance in its insect host	10.1371/journal.pgen.1007725	PLOS GENETICS	2018	None
1447	Symbiont	Hemiptera	Delphacidae	Delphacinae	Nilaparvata lugens	Pseudomonadota	Enterobacterales	Arsenophonus	Genus	Arsenophonus	Arsenophonus strain (S-type)	Bacteria	with the S-type Arsenophonus significantly decreased host insecticide resistance	Pesticide metabolization	SRR7813942-SRR7704232	A distinct strain of Arsenophonus symbiont decreases insecticide resistance in its insect host	10.1371/journal.pgen.1007725	PLOS GENETICS	2018	None
1448	Symbiont	Hemiptera	Aphididae	Lachninae	Cinara strobi	Pseudomonadota	Enterobacterales	Buchnera	Genus	Buchnera	Buchnera aphidicola	Bacteria	contribute to the hosts’ supply of essential nutrients	Nutrient provision	GCA_900560745.1	A Freeloader? The Highly Eroded Yet Large Genome of the Serratia symbiotica Symbiont of Cinara strobi	10.1093/gbe/evy173	GENOME BIOLOGY AND EVOLUTION	2018	None
1449	Symbiont	Hemiptera	Aphididae	Lachninae	Cinara strobi	Pseudomonadota	Enterobacterales	Sodalis	Genus	Sodalis	Candidatus Sodalis sp.	Bacteria	contribute to the hosts’ supply of essential nutrients	Nutrient provision	GCA_900143145.1	A Freeloader? The Highly Eroded Yet Large Genome of the Serratia symbiotica Symbiont of Cinara strobi	10.1093/gbe/evy173	GENOME BIOLOGY AND EVOLUTION	2018	None
1450	Symbiont	Hemiptera	Coccidae	None	Ericerus pela	Ascomycota	Cladosporiales	Cladosporium	Genus	Cladosporium	Cladosporium langeronii	Fungi	It infects and kills E. pela females	Reproductive manipulation	None	A Lethal Fungus Infects the Chinese White Wax Scale Insect and Causes Dramatic Changes in the Host Microbiota	10.1038/s41598-018-23671-1	SCIENTIFIC REPORTS	2018	None
1451	Symbiont	Hemiptera	Coccidae	None	Ericerus pela	Ascomycota	Cladosporiales	Cladosporium	Genus	Cladosporium	Cladosporium sphaerospermum	Fungi	It infects and kills E. pela females	Reproductive manipulation	None	A Lethal Fungus Infects the Chinese White Wax Scale Insect and Causes Dramatic Changes in the Host Microbiota	10.1038/s41598-018-23671-1	SCIENTIFIC REPORTS	2018	None
1452	Symbiont	Coleoptera	Chrysomelidae	Cassidinae	Octodonta nipae	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	Wolbachia harbored dominantly in a female than the male adult, while, no significant differences were observed between male and female body parts and tissues	None	None	A novel bacterial symbiont association in the hispid beetle, Octodonta nipae (Coleoptera: Chrysomelidae), their dynamics and phylogeny	10.1016/j.micpath.2018.03.046	MICROBIAL PATHOGENESIS	2018	None
1453	Symbiont	Diptera	Glossinidae	None	Aedes aegypti	Pseudomonadota	Neisseriales	Chromobacterium	Genus	Chromobacterium	Chromobacterium sp.	Bacteria	aminopeptidase secreted by a Chromobacterium species suppresses DENV infection by directly degrading the DENV envelope protein	Pathogen interaction	None	Aminopeptidase secreted by Chromobacterium sp. Panama inhibits dengue virus infection by degrading the E protein	10.1371/journal.pntd.0006443	PLoS neglected tropical diseases	2018	None
1454	Symbiont	Coleoptera	Tenebrionidae	Lagriidae	Lagria hirta	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia	Bacteria	provisioning of essential amino acids and/or vitamins	Nutrient provision	PRJNA306502	An antifungal polyketide associated with horizontally acquired genes supports symbiont-mediated defense in Lagria villosa beetles	10.1038/s41467-018-04955-6	NATURE COMMUNICATIONS	2018	None
1455	Symbiont	Coleoptera	Tenebrionidae	Lagriidae	Lagria villosa	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia	Bacteria	provisioning of essential amino acids and/or vitamins	Nutrient provision	PRJNA306502	An antifungal polyketide associated with horizontally acquired genes supports symbiont-mediated defense in Lagria villosa beetles	10.1038/s41467-018-04955-6	NATURE COMMUNICATIONS	2018	None
1456	Symbiont	Coleoptera	Bostrichidae	Lyctinae	Lagria villosa	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia gladioli Lv-StB	Bacteria	None	None	None	An antifungal polyketide associated with horizontally acquired genes supports symbiont-mediated defense in Lagria villosa beetles	10.1038/s41467-018-04955-6	NATURE COMMUNICATIONS	2018	None
1457	Symbiont	Coleoptera	Bostrichidae	Lyctinae	Lyctus brunneus	Bacteroidota	Flavobacteriales	Candidatus Shikimatogenerans	Genus	Candidatus Shikimatogenerans	Candidatus Shikimatogenerans	Bacteria	Possibly tyrosine precursor provisioning	Nutrient provision	None	Ancient symbiosis confers desiccation resistance to stored grain pest beetles	10.1111/mec.14418	MOLECULAR ECOLOGY	2018	None
1458	Symbiont	Coleoptera	Bostrichidae	Dinoderinae	Multiple species	Bacteroidota	Flavobacteriales	Candidatus Shikimatogenerans	Genus	Candidatus Shikimatogenerans	Candidatus Shikimatogenerans	Bacteria	Possibly tyrosine precursor provisioning	Nutrient provision	None	Ancient symbiosis confers desiccation resistance to stored grain pest beetles	10.1111/mec.14418	MOLECULAR ECOLOGY	2018	None
1459	Symbiont	Coleoptera	Silvanidae	Silvaninae	Oryzaephilus surinamensis	Bacteroidota	None	None	Phylum	Bacteroidota	Bacteroidetes	Bacteria	Affect cuticle thickness, melanization and hydrocarbon profile, enhancing desiccation resistance and thereby strongly improving fitness under dry conditions.	None	MF183956.1	Ancient symbiosis confers desiccation resistance to stored grain pest beetles	10.1111/mec.14418	MOLECULAR ECOLOGY	2018	None
1460	Symbiont	Coleoptera	Bostrichidae	Lyctinae	Oryzaephilus surinamensis	Bacteroidota	Bacteroidia	None	Class	Bacteroidia	Bacteroidia	Bacteria	affect cuticle thickness, melanization and hydrocarbon profile, enhancing desiccation resistance and thereby strongly improving fitness under dry conditions	None	MF183956-MF183966	Ancient symbiosis confers desiccation resistance to stored grain pest beetles	10.1111/mec.14418	MOLECULAR ECOLOGY	2018	None
1461	Symbiont	Lepidoptera	Pyralidae	Galleriinae	Spilosoma obliqua	None	None	None	None	None	gut bacteria	Bacteria	detoxifying processes – dehalogenation and aromatic hydrocarbons degradation	Plant secondary metabolites	None	Annotation of gut bacterial taxonomic and functional diversity in Spodoptera litura and Spilosoma obliqua	10.1002/jobm.201700462	JOURNAL OF BASIC MICROBIOLOGY	2018	None
1462	Symbiont	Lepidoptera	Pyralidae	Galleriinae	Spodoptera litura	None	None	None	None	None	gut bacteria	Bacteria	detoxifying processes –dehalogenation and aromatic hydrocarbons degradation	Plant secondary metabolites	None	Annotation of gut bacterial taxonomic and functional diversity in Spodoptera litura and Spilosoma obliqua	10.1002/jobm.201700462	JOURNAL OF BASIC MICROBIOLOGY	2018	None
1463	Symbiont	Hemiptera	Cicadellidae	Deltocephalinae	Scaphoideus titanus	Pseudomonadota	Rhodospirillales	Asaia	Genus	Asaia	Asaia	Bacteria	interfere with infection by Flavescence dorée phytoplasma in leafhoppers	Pathogen interaction	None	Asaia symbionts interfere with infection by Flavescence dorée phytoplasma in leafhoppers	10.1007/s10340-018-0973-1	Journal of Pest Science	2018	None
1464	Symbiont	Coleoptera	Nitidulidae	Nitidulinae	Aethina tumida	Ascomycota	Serinales	Kodamaea	Genus	Kodamaea	Kodamaea ohmeri	Fungi	None	None	None	Associations Between the Small Hive Beetle and the Yeast Kodamaea ohmeri Throughout the Host Life Cycle	10.1093/jee/toy121	JOURNAL OF ECONOMIC ENTOMOLOGY	2018	None
1465	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Bacillota	Lactobacillales	Lactiplantibacillus	Genus	Lactobacillus	Lactobacillus plantarum FlyG2.1.8	Bacteria	L. plantarum increases its growth-promotion ability by adapting to Drosophila diet	Growth and Development	GCA_002735815.1	Bacterial Adaptation to the Host's Diet Is a Key Evolutionary Force Shaping Drosophila-Lactobacillus Symbiosis	10.1016/j.chom.2018.06.001	Cell Host & Microbe	2018	None
1466	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Bacillota	Lactobacillales	Lactiplantibacillus	Genus	Lactobacillus	Lactobacillus plantarum FlyG3.1.8	Bacteria	L. plantarum increases its growth-promotion ability by adapting to Drosophila diet	Growth and Development	GCA_002738055.1	Bacterial Adaptation to the Host's Diet Is a Key Evolutionary Force Shaping Drosophila-Lactobacillus Symbiosis	10.1016/j.chom.2018.06.001	Cell Host & Microbe	2018	None
1467	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Bacillota	Lactobacillales	Lactiplantibacillus	Genus	Lactobacillus	Lactobacillus plantarum FlyG7.1.6	Bacteria	L. plantarum increases its growth-promotion ability by adapting to Drosophila diet	Growth and Development	GCA_002738065.1	Bacterial Adaptation to the Host's Diet Is a Key Evolutionary Force Shaping Drosophila-Lactobacillus Symbiosis	10.1016/j.chom.2018.06.001	Cell Host & Microbe	2018	None
1468	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Bacillota	Lactobacillales	Lactiplantibacillus	Genus	Lactobacillus	Lactobacillus plantarum FlyG8.1.1	Bacteria	L. plantarum increases its growth-promotion ability by adapting to Drosophila diet	Growth and Development	GCA_002737745.1	Bacterial Adaptation to the Host's Diet Is a Key Evolutionary Force Shaping Drosophila-Lactobacillus Symbiosis	10.1016/j.chom.2018.06.001	Cell Host & Microbe	2018	None
1469	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Bacillota	Lactobacillales	Lactiplantibacillus	Genus	Lactobacillus	Lactobacillus plantarum FlyG8.1.2	Bacteria	L. plantarum increases its growth-promotion ability by adapting to Drosophila diet	Growth and Development	GCA_002737775.1	Bacterial Adaptation to the Host's Diet Is a Key Evolutionary Force Shaping Drosophila-Lactobacillus Symbiosis	10.1016/j.chom.2018.06.001	Cell Host & Microbe	2018	None
1470	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Bacillota	Lactobacillales	Lactiplantibacillus	Genus	Lactobacillus	Lactobacillus plantarum FlyG9.1.4	Bacteria	L. plantarum increases its growth-promotion ability by adapting to Drosophila diet	Growth and Development	GCA_002737825.1	Bacterial Adaptation to the Host's Diet Is a Key Evolutionary Force Shaping Drosophila-Lactobacillus Symbiosis	10.1016/j.chom.2018.06.001	Cell Host & Microbe	2018	None
1471	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Bacillota	Lactobacillales	Lactiplantibacillus	Genus	Lactobacillus	Lactobacillus plantarum FlyG1None.1.5	Bacteria	L. plantarum increases its growth-promotion ability by adapting to Drosophila diet	Growth and Development	GCA_002737835.1	Bacterial Adaptation to the Host's Diet Is a Key Evolutionary Force Shaping Drosophila-Lactobacillus Symbiosis	10.1016/j.chom.2018.06.001	Cell Host & Microbe	2018	None
1472	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Bacillota	Lactobacillales	Lactiplantibacillus	Genus	Lactobacillus	Lactobacillus plantarum FlyG1None.1.9	Bacteria	L. plantarum increases its growth-promotion ability by adapting to Drosophila diet	Growth and Development	GCA_002738045.1	Bacterial Adaptation to the Host's Diet Is a Key Evolutionary Force Shaping Drosophila-Lactobacillus Symbiosis	10.1016/j.chom.2018.06.001	Cell Host & Microbe	2018	None
1473	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Bacillota	Lactobacillales	Lactiplantibacillus	Genus	Lactobacillus	Lactobacillus plantarum FlyG11.1.2	Bacteria	L. plantarum increases its growth-promotion ability by adapting to Drosophila diet	Growth and Development	GCA_002737975.1	Bacterial Adaptation to the Host's Diet Is a Key Evolutionary Force Shaping Drosophila-Lactobacillus Symbiosis	10.1016/j.chom.2018.06.001	Cell Host & Microbe	2018	None
1474	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Bacillota	Lactobacillales	Lactiplantibacillus	Genus	Lactobacillus	Lactobacillus plantarum FlyG11.1.6	Bacteria	L. plantarum increases its growth-promotion ability by adapting to Drosophila diet	Growth and Development	GCA_002737965.1	Bacterial Adaptation to the Host's Diet Is a Key Evolutionary Force Shaping Drosophila-Lactobacillus Symbiosis	10.1016/j.chom.2018.06.001	Cell Host & Microbe	2018	None
1475	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Bacillota	Lactobacillales	Lactiplantibacillus	Genus	Lactobacillus	Lactobacillus plantarum FlyG2None.1.4	Bacteria	L. plantarum increases its growth-promotion ability by adapting to Drosophila diet	Growth and Development	GCA_002737845.1	Bacterial Adaptation to the Host's Diet Is a Key Evolutionary Force Shaping Drosophila-Lactobacillus Symbiosis	10.1016/j.chom.2018.06.001	Cell Host & Microbe	2018	None
1476	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Bacillota	Lactobacillales	Lactiplantibacillus	Genus	Lactobacillus	Lactobacillus plantarum FlyG9.2.5	Bacteria	L. plantarum increases its growth-promotion ability by adapting to Drosophila diet	Growth and Development	GCA_002737925.1	Bacterial Adaptation to the Host's Diet Is a Key Evolutionary Force Shaping Drosophila-Lactobacillus Symbiosis	10.1016/j.chom.2018.06.001	Cell Host & Microbe	2018	None
1477	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Bacillota	Lactobacillales	Lactiplantibacillus	Genus	Lactobacillus	Lactobacillus plantarum FlyG11.2.6	Bacteria	L. plantarum increases its growth-promotion ability by adapting to Drosophila diet	Growth and Development	GCA_002737905.1	Bacterial Adaptation to the Host's Diet Is a Key Evolutionary Force Shaping Drosophila-Lactobacillus Symbiosis	10.1016/j.chom.2018.06.001	Cell Host & Microbe	2018	None
1478	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Bacillota	Lactobacillales	Lactiplantibacillus	Genus	Lactobacillus	Lactobacillus plantarum FlyG2None.2.6	Bacteria	L. plantarum increases its growth-promotion ability by adapting to Drosophila diet	Growth and Development	GCA_002737885.1	Bacterial Adaptation to the Host's Diet Is a Key Evolutionary Force Shaping Drosophila-Lactobacillus Symbiosis	10.1016/j.chom.2018.06.001	Cell Host & Microbe	2018	None
1479	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Bacillota	Lactobacillales	Lactiplantibacillus	Genus	Lactobacillus	Lactobacillus plantarum FlyG2None.1.2	Bacteria	L. plantarum increases its growth-promotion ability by adapting to Drosophila diet	Growth and Development	GCA_002737935.1	Bacterial Adaptation to the Host's Diet Is a Key Evolutionary Force Shaping Drosophila-Lactobacillus Symbiosis	10.1016/j.chom.2018.06.001	Cell Host & Microbe	2018	None
1480	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Bacillota	Lactobacillales	Lactiplantibacillus	Genus	Lactobacillus	Lactobacillus plantarum FlyG2None.2.2	Bacteria	L. plantarum increases its growth-promotion ability by adapting to Drosophila diet	Growth and Development	GCA_002737995.1	Bacterial Adaptation to the Host's Diet Is a Key Evolutionary Force Shaping Drosophila-Lactobacillus Symbiosis	10.1016/j.chom.2018.06.001	Cell Host & Microbe	2018	None
1481	Symbiont	Coleoptera	Carabidae	Brachininae	Brachinus elongatulus	Bacteroidota	Bacteroidales	Dysgonomonas	Genus	Dysgonomonas	Dysgonomonas	Bacteria	None	None	None	Bacterial Associates of a Gregarious Riparian Beetle With Explosive Defensive Chemistry	10.3389/fmicb.2018.02361	FRONTIERS IN MICROBIOLOGY	2018	None
1482	Symbiont	Coleoptera	Carabidae	Brachininae	Brachinus elongatulus	Bacillota	Lactobacillales	Enterococcus	Genus	Enterococcus	Enterococcus	Bacteria	implicated in the production of fecal aggregation pheromone components	Chemical biosynthesis	None	Bacterial Associates of a Gregarious Riparian Beetle With Explosive Defensive Chemistry	10.3389/fmicb.2018.02361	FRONTIERS IN MICROBIOLOGY	2018	None
1483	Symbiont	Coleoptera	Carabidae	Brachininae	Brachinus elongatulus	Mycoplasmatota	Entomoplasmatales	Spiroplasma	Genus	Spiroplasma	Spiroplasma	Bacteria	may manipulate host reproduction (e.g., cause male-killing) or provide resistance to nematodes and/or parasitoid wasps	Reproductive manipulation	None	Bacterial Associates of a Gregarious Riparian Beetle With Explosive Defensive Chemistry	10.3389/fmicb.2018.02361	FRONTIERS IN MICROBIOLOGY	2018	None
1484	Symbiont	Hemiptera	Delphacidae	Delphacinae	Sogatella furcifera	Bacteroidota	Cytophagales	Candidatus Cardinium	Genus	Candidatus Cardinium	Cardinium cSfur	Bacteria	None	None	CP022339	Bacterial endosymbiont Cardinium cSfur genome sequence provides insights for understanding the symbiotic relationship in Sogatella furcifera host	10.1186/s12864-018-5078-y	BMC GENOMICS	2018	None
1485	Symbiont	Coleoptera	Curculionidae	Scolytinae	Dendroctonus valens	Ascomycota	Ophiostomatales	Leptographium	Genus	Leptographium	Leptographium procerum	Fungi	enhances the survivorship and overall fitness of invasive beetles by degrading the host phenolic naringenin, ultimately overcoming the tree defenses and facilitating the success of the invasive beetle-Fungi complex	Plant secondary metabolites	None	Bacterial microbiota protect an invasive bark beetle from a pine defensive compound	10.1186/s40168-018-0518-0	MICROBIOME	2018	None
1486	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Acyrthosiphon pisum	Pseudomonadota	Enterobacterales	Buchnera	Genus	Buchnera	Buchnera aphidicola	Bacteria	in senescent bacteriocytes, the endosymbionts are degraded through a lysosomal-dependent mechanism	None	None	Bacteriocyte cell death in the pea aphid/Buchnera symbiotic system	10.1073/pnas.1720237115	Proceedings of the National Academy of Sciences of the United States of America	2018	None
1487	Symbiont	Hymenoptera	Formicidae	Pseudomyrmecinae	Camponotus floridanus	Pseudomonadota	Enterobacterales	Candidatus Blochmanniella	Genus	Blochmannia	Blochmannia floridanus	Bacteria	recycling nitrogen and helping to synthesize amino acids, fatty acids, and nucleotides	Nitrogen fixation,Nutrient provision	None	Camponotus floridanus Ants Incur a Trade-Off between Phenotypic Development and Pathogen Susceptibility from Their Mutualistic Endosymbiont Blochmannia	10.3390/insects9020058	Insects	2018	None
1488	Symbiont	Lepidoptera	Pyralidae	Galleriinae	Bombyx mori	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus pumilus	Bacteria	shows potent antiviral activity against the budded virions of Bombyx mori NPV	Antimicrobials	None	Characterization of a Lipase From the Silkworm Intestinal Bacterium Bacillus pumilus With Antiviral Activity Against Bombyx mori (Lepidoptera: Bombycidae) Nucleopolyhedrovirus In Vitro	10.1093/jisesa/iey111	JOURNAL OF INSECT SCIENCE	2018	None
