Insect Species	Order	Family	Subfamily	Genus
Xylocopa auripennis	Hymenoptera	Apidae	Xylocopinae	Xylocopa
Xylocopa caerulea	Hymenoptera	Apidae	Xylocopinae	Xylocopa
Xylocopa carpenter	Hymenoptera	Apidae	Xylocopinae	Xylocopa
Xylosandrus compactus	Coleoptera	Curculionidae	Scolytinae	Xylosandrus
Xylosandrus crassiusculus	Coleoptera	Curculionidae	Scolytinae	Xylosandrus
Xylosandrus germanus	Coleoptera	Curculionidae	Scolytinae	Xylosandrus
Xylosandrus morigerus	Coleoptera	Curculionidae	Scolytinae	Xylosandrus
Yamatotettix flavovittatus	Hemiptera	Cicadellidae	Deltocephalinae	Yamatotettix
Yemma exilis	Hemiptera	Berytidae	None	Yemma
Zeugodacus cucurbitae	Diptera	Tephritidae	Dacinae	Zeugodacus
Zeuzera coffeae	Lepidoptera	Cossidae	Zeuzerinae	Zeuzera
Zeuzera pyrina	Lepidoptera	Cossidae	Zeuzerinae	Zeuzera
Zootermopsis nevadensis	Blattodea	Rhinotermitidae	Heterotermitinae	Zootermopsis
Zophobas morio	Coleoptera	Tenebrionidae	None	Zophobas
Chironomus incertipenis	Diptera	Chironomidae	Chironominae	Chironomus
Abaeis albula	Lepidoptera	Pieridae	Coliadinae	Abaeis
Acanthococcus confusus	Hemiptera	Eriococcidae	None	Acanthococcus
Acanthoscelides obtectus	Coleoptera	Chrysomelidae	Bruchinae	Acanthoscelides
Acanthosoma denticaudum	Hemiptera	Acanthosomatidae	None	Acanthosoma
Acanthosoma forficula	Hemiptera	Acanthosomatidae	None	Acanthosoma
Acanthosoma labiduroides	Hemiptera	Acanthosomatidae	None	Acanthosoma
Acanthosoma spinicolle	Hemiptera	Acanthosomatidae	None	Acanthosoma
Acheta domesticus	Orthoptera	Gryllidae	Gryllinae	Acheta
Acizzia acaciae	Hemiptera	Psyllidae	Acizziinae	Acizzia
Acizzia acaciaebaileyanae	Hemiptera	Psyllidae	Acizziinae	Acizzia
Acizzia dodonaeae	Hemiptera	Psyllidae	Acizziinae	Acizzia
Acizzia errabunda	Hemiptera	Psyllidae	Acizziinae	Acizzia
Acizzia hakeae	Hemiptera	Psyllidae	Acizziinae	Acizzia
Acizzia jucunda	Hemiptera	Psyllidae	Acizziinae	Acizzia
Acizzia solanicola	Hemiptera	Psyllidae	Acizziinae	Acizzia
Acizzia uncatoides	Hemiptera	Psyllidae	Acizziinae	Acizzia
Adelpha cytherea	Lepidoptera	Nymphalidae	Limenitidinae	Adelpha
Aeria eurimedia	Lepidoptera	Nymphalidae	Danainae	Aeria
Ahasverus advena	Coleoptera	Silvanidae	Silvaninae	Ahasverus
Akermes scrobiculatus	Hemiptera	Coccidae	None	Akermes
Aleurocanthus camelliae	Hemiptera	Aleyrodidae	Aleyrodinae	Aleurocanthus
Amitermes laurensis	Blattodea	Termitidae	Termitinae	Amitermes
Amphicerus bicaudatus	Coleoptera	Bostrichidae	Bostrichinae	Amphicerus
Anartia fatima	Lepidoptera	Nymphalidae	Nymphalinae	Anartia
Andrena nasonii	Hymenoptera	Andrenidae	Andreninae	Andrena
Andrena rudbeckiae	Hymenoptera	Andrenidae	Andreninae	Andrena
Anisopteromalus calandrae	Hymenoptera	Pteromalidae	Pteromalinae	Anisopteromalus
Anomalopsylla insignita	Hemiptera	Aphalaridae	None	Anomalopsylla
Anopheles merus	Diptera	Culicidae	Anophelinae	Anopheles
Anopheles quadriannulatus	Diptera	Culicidae	Anophelinae	Anopheles
Anoplotermes banksi	Blattodea	Termitidae	Apicotermitinae	Anoplotermes
Aphrissa boisduvalii	Lepidoptera	Pieridae	Coliadinae	Aphrissa
Apiomorpha pharetrata	Hemiptera	Eriococcidae	None	Apiomorpha
Apiomorpha rosaeformis	Hemiptera	Eriococcidae	None	Apiomorpha
Apiomorpha variabilis	Hemiptera	Eriococcidae	None	Apiomorpha
Apis dorsata	Hymenoptera	Apidae	Apinae	Apis
Arawacus togarna	Lepidoptera	Lycaenidae	Theclinae	Arawacus
Archaeoprepona demophon	Lepidoptera	Nymphalidae	Charaxinae	Archaeoprepona
Archotermopsis wroughtoni	Blattodea	Termopsidae	Termopsinae	Archotermopsis
Arctia plantaginis	Lepidoptera	Erebidae	Arctiinae	Arctia
Atta colombica	Hymenoptera	Formicidae	Myrmicinae	Atta
Attagenus unicolor	Coleoptera	Dermestidae	Attageninae	Attagenus
Augochlora pura	Hymenoptera	Halictidae	Halictinae	Augochlora
Aulonothroscus brevicollis	Coleoptera	Throscidae	None	Aulonothroscus
Basilia andersoni	Diptera	Nycteribiidae	Nycteribiinae	Basilia
Basilia ferruginea	Diptera	Nycteribiidae	Nycteribiinae	Basilia
Basilia juquiensis	Diptera	Nycteribiidae	Nycteribiinae	Basilia
Basilia lindolphoi	Diptera	Nycteribiidae	Nycteribiinae	Basilia
Bathycoelia indica	Hemiptera	Pentatomidae	Pentatominae	Bathycoelia
Beesonia ferrugineus	Hemiptera	Beesoniidae	None	Beesonia
Blastopsylla occidentalis	Hemiptera	Aphalaridae	None	Blastopsylla
Bombus flavescens	Hymenoptera	Apidae	Apinae	Bombus
Bombus lepidus	Hymenoptera	Apidae	Apinae	Bombus
Bombus modestus	Hymenoptera	Apidae	Apinae	Bombus
Bombus pascuorum	Hymenoptera	Apidae	Apinae	Bombus
Bombus pratorum	Hymenoptera	Apidae	Apinae	Bombus
Bombus pyrosoma	Hymenoptera	Apidae	Apinae	Bombus
Bombus trifasciatus	Hymenoptera	Apidae	Apinae	Bombus
Bombus vestalis	Hymenoptera	Apidae	Apinae	Bombus
Bombus waltoni	Hymenoptera	Apidae	Apinae	Bombus
Bostrichus capucinus	Coleoptera	Bostrichidae	Bostrichinae	Bostrichus
Bostrychoplites normandi	Coleoptera	Bostrichidae	Bostrichinae	Bostrychoplites
Bostrychoplites zickeli	Coleoptera	Bostrichidae	Bostrichinae	Bostrychoplites
Brachymyrmex depilis	Hymenoptera	Formicidae	Formicinae	Brachymyrmex
Caligo atreus	Lepidoptera	Nymphalidae	Satyrinae	Caligo
Caligo brasiliensis	Lepidoptera	Nymphalidae	Satyrinae	Caligo
Caligo illioneus	Lepidoptera	Nymphalidae	Satyrinae	Caligo
Cassida vibex	Coleoptera	Chrysomelidae	Cassidinae	Cassida
Cassida viridis	Coleoptera	Chrysomelidae	Cassidinae	Cassida
Casuarinicola australis	Hemiptera	Triozidae	None	Casuarinicola
Catoblepia orgetorix	Lepidoptera	Nymphalidae	Satyrinae	Catoblepia
Cavitermes tuberosus	Blattodea	Termitidae	Termitinae	Cavitermes
Cetonia aurata	Coleoptera	Scarabaeidae	Cetoniinae	Cetonia
Charidotella sexpunctata	Coleoptera	Chrysomelidae	Cassidinae	Charidotella
Chlosyne gaudialis	Lepidoptera	Nymphalidae	Nymphalinae	Chlosyne
Chrysoperla externa	Neuroptera	Chrysopidae	Chrysopinae	Chrysoperla
Cithaerias pireta	Lepidoptera	Nymphalidae	Satyrinae	Cithaerias
Clanis bilineata	Lepidoptera	Sphingidae	Smerinthinae	Clanis
Coccus formicarii	Hemiptera	Coccidae	None	Coccus
Coccus hesperidum	Hemiptera	Coccidae	None	Coccus
Colaphellus bowringi	Coleoptera	Chrysomelidae	Chrysomelinae	Colaphellus
Colladonus clitellarius	Hemiptera	Cicadellidae	Deltocephalinae	Colladonus
Colocasiomyia xenalocasiae	Diptera	Drosophilidae	Drosophilinae	Colocasiomyia
Condylostylus patibulatus	Diptera	Dolichopodidae	Sciapodinae	Condylostylus
Constrictotermes cavifrons	Blattodea	Termitidae	Nasutitermitinae	Constrictotermes
Coptotermes curvignathus	Blattodea	Rhinotermitidae	Coptotermitinae	Coptotermes
Cornitermes pugnax	Blattodea	Termitidae	Syntermitinae	Cornitermes
Cortaritermes intermedius	Blattodea	Termitidae	Nasutitermitinae	Cortaritermes
Cryptes baccatus	Hemiptera	Coccidae	None	Cryptes
Cryptocercus clevelandi	Blattodea	Cryptocercidae	None	Cryptocercus
Cryptocercus kyebangensis	Blattodea	Cryptocercidae	None	Cryptocercus
Cryptolestes pusillus	Coleoptera	Laemophloeidae	None	Cryptolestes
Cryptolestes turcicus	Coleoptera	Laemophloeidae	None	Cryptolestes
Cryptotermes cavifrons	Blattodea	Kalotermitidae	Cryptotermitinae	Cryptotermes
Ctenarytaina eucalypti	Hemiptera	Aphalaridae	None	Ctenarytaina
Ctenarytaina insularis	Hemiptera	Aphalaridae	None	Ctenarytaina
Ctenarytaina longicauda	Hemiptera	Aphalaridae	None	Ctenarytaina
Ctenarytaina pollicaris	Hemiptera	Aphalaridae	None	Ctenarytaina
Ctenarytaina thysanura	Hemiptera	Aphalaridae	None	Ctenarytaina
Culex tritaeniorhynchus	Diptera	Culicidae	Culicinae	Culex
Culex usquatus	Diptera	Culicidae	Culicinae	Culex
Cycloneda sanguinea	Coleoptera	Coccinellidae	Coccinellinae	Cycloneda
Cynaeus angustus	Coleoptera	Tenebrionidae	Tenebrioninae	Cynaeus
Cystococcus campanidorsalis	Hemiptera	Eriococcidae	None	Cystococcus
Cystococcus echiniformis	Hemiptera	Eriococcidae	None	Cystococcus
Cystococcus pomiformis	Hemiptera	Eriococcidae	None	Cystococcus
Dermestes maculatus	Coleoptera	Dermestidae	Dermestinae	Dermestes
Dicuspiditermes nemorosus	Blattodea	Termitidae	Termitinae	Dicuspiditermes
Dinapate wrightii	Coleoptera	Bostrichidae	Bostrichinae	Dinapate
Dinoderus bifoveolatus	Coleoptera	Bostrichidae	Dinoderinae	Dinoderus
Dinoderus minutus	Coleoptera	Bostrichidae	Dinoderinae	Dinoderus
Dinoderus porcellus	Coleoptera	Bostrichidae	Dinoderinae	Dinoderus
Dorymyrmex brunneus	Hymenoptera	Formicidae	Dolichoderinae	Dorymyrmex
Drepanotermes rubriceps	Blattodea	Termitidae	Termitinae	Drepanotermes
Drosophila biauraria	Diptera	Drosophilidae	Drosophilinae	Drosophila
Drosophila nigrosparsa	Diptera	Drosophilidae	Drosophilinae	Drosophila
Dryas iulia	Lepidoptera	Nymphalidae	Heliconiinae	Dryas
Dulcedo polita	Lepidoptera	Nymphalidae	Satyrinae	Dulcedo
Durganda rubra	Hemiptera	Reduviidae	Reduviinae	Durganda
Elasmostethus humeralis	Hemiptera	Acanthosomatidae	None	Elasmostethus
Embiratermes neotenicus	Blattodea	Termitidae	Syntermitinae	Embiratermes
Eocanthecona furcellata	Hemiptera	Pentatomidae	Asopinae	Eocanthecona
Eriococcus coriaceus	Hemiptera	Eriococcidae	None	Eriococcus
Eriococcus spurius	Hemiptera	Eriococcidae	None	Eriococcus
Euborellia annulipes	Dermaptera	Anisolabididae	None	Euborellia
Eucalyptolyma maideni	Hemiptera	Aphalaridae	None	Eucalyptolyma
Euderia squamosa	Coleoptera	Bostrichidae	Euderiinae	Euderia
Eupeodes pomus	Diptera	Syrphidae	Syrphinae	Eupeodes
Euptychia westwoodi	Lepidoptera	Nymphalidae	Satyrinae	Euptychia
Formica subsericea	Hymenoptera	Formicidae	Formicinae	Formica
Frankliniella panamensis	Thysanoptera	Thripidae	Thripinae	Frankliniella
Geina sheppardi	Lepidoptera	Pterophoridae	Pterophorinae	Geina
Gibbium aequinoctiale	Coleoptera	Ptinidae	Ptininae	Gibbium
Globitermes brachycerastes	Blattodea	Termitidae	Termitinae	Globitermes
Globitermes globosus	Blattodea	Termitidae	Termitinae	Globitermes
Glossina palpalis gambiensis	Diptera	Glossinidae	None	Glossina
Glycaspis granulata	Hemiptera	Aphalaridae	None	Glycaspis
Glyptotermes fuscus	Blattodea	Kalotermitidae	Glyptotermitinae	Glyptotermes
Glyptotermes satsumensis	Blattodea	Kalotermitidae	Glyptotermitinae	Glyptotermes
Gromphadorhina portentosa	Blattodea	Blaberidae	Oxyhaloinae	Gromphadorhina
Gryllodes sigillatus	Orthoptera	Gryllidae	Gryllinae	Gryllodes
Gryllus bimaculatus	Orthoptera	Gryllidae	Gryllinae	Gryllus
Habropoda laboriosa	Hymenoptera	Apidae	Apinae	Habropoda
Haemagogus janthinomys	Diptera	Culicidae	Culicinae	Haemagogus
Hamadryas feronia	Lepidoptera	Nymphalidae	Biblidinae	Hamadryas
Heliconius cydno	Lepidoptera	Nymphalidae	Heliconiinae	Heliconius
Heliconius sara	Lepidoptera	Nymphalidae	Heliconiinae	Heliconius
Heterobostrychus aequalis	Coleoptera	Bostrichidae	Bostrichinae	Heterobostrychus
Heterobostrychus hamatipennis	Coleoptera	Bostrichidae	Bostrichinae	Heterobostrychus
Heterotermes tenuior	Blattodea	Rhinotermitidae	Heterotermitinae	Heterotermes
Hippodamia convergens	Coleoptera	Coccinellidae	Coccinellinae	Hippodamia
Hodotermopsis sjostedti	Blattodea	Termopsidae	Termopsinae	Hodotermopsis
Homallotermes eleanorae	Blattodea	Termitidae	Termitinae	Homallotermes
Hospitalitermes medioflavus	Blattodea	Termitidae	Nasutitermitinae	Hospitalitermes
Hybomitra lurida	Diptera	Tabanidae	Tabaninae	Hybomitra
Icerya purchasi	Hemiptera	Monophlebidae	None	Icerya
Icerya seychellarum	Hemiptera	Monophlebidae	None	Icerya
Ips acuminatus	Coleoptera	Curculionidae	Scolytinae	Ips
Ips cembrae	Coleoptera	Curculionidae	Scolytinae	Ips
Ips duplicatus	Coleoptera	Curculionidae	Scolytinae	Ips
Ips nitidus	Coleoptera	Curculionidae	Scolytinae	Ips
Ips sexdentatus	Coleoptera	Curculionidae	Scolytinae	Ips
Ischnocodia annulus	Coleoptera	Chrysomelidae	Cassidinae	Ischnocodia
Jemadia pseudognetus	Lepidoptera	Hesperiidae	Pyrrhopyginae	Jemadia
Labiotermes labralis	Blattodea	Termitidae	Syntermitinae	Labiotermes
Lachnodius eucalypti	Hemiptera	Eriococcidae	None	Lachnodius
Lasioglossum albipes	Hymenoptera	Halictidae	Halictinae	Lasioglossum
Lasius claviger	Hymenoptera	Formicidae	Formicinae	Lasius
Lasius flavus	Hymenoptera	Formicidae	Formicinae	Lasius
Lasius umbratus	Hymenoptera	Formicidae	Formicinae	Lasius
Lonchodes brevipes	Phasmatodea	Lonchodidae	Lonchodinae	Lonchodes
Longipeditermes longipes	Blattodea	Termitidae	Nasutitermitinae	Longipeditermes
Lyctus cavicollis	Coleoptera	Bostrichidae	Lyctinae	Lyctus
Macrognathotermes errator	Blattodea	Termitidae	Termitinae	Macrognathotermes
Macrotermes gilvus	Blattodea	Termitidae	Macrotermitinae	Macrotermes
Macrotermes malaccensis	Blattodea	Termitidae	Macrotermitinae	Macrotermes
Macrotermes subhyalinus	Blattodea	Termitidae	Macrotermitinae	Macrotermes
Magicicada septendecim	Hemiptera	Cicadidae	Cicadettinae	Magicicada
Marpesia chiron	Lepidoptera	Nymphalidae	Cyrestinae	Marpesia
Marpesia petreus	Lepidoptera	Nymphalidae	Cyrestinae	Marpesia
Matsumurasca onukii	Hemiptera	Cicadellidae	Typhlocybinae	Matsumurasca
Mechanitis lysimnia	Lepidoptera	Nymphalidae	Danainae	Mechanitis
Mechanitis polymnia	Lepidoptera	Nymphalidae	Danainae	Mechanitis
Megachile fortis	Hymenoptera	Megachilidae	Megachilinae	Megachile
Megachile rotundata	Hymenoptera	Megachilidae	Megachilinae	Megachile
Megalopta genalis	Hymenoptera	Halictidae	Halictinae	Megalopta
Megistopoda proxima	Diptera	Streblidae	Trichobiinae	Megistopoda
Melipona quadrifasciata	Hymenoptera	Apidae	Apinae	Melipona
Metelasmus pseudopterus	Diptera	Streblidae	Streblinae	Metelasmus
Micrapate scabrata	Coleoptera	Bostrichidae	Bostrichinae	Micrapate
Micraspis discolor	Coleoptera	Coccinellidae	Coccinellinae	Micraspis
Microcerotermes crassus	Blattodea	Termitidae	Termitinae	Microcerotermes
Microcerotermes dubius	Blattodea	Termitidae	Termitinae	Microcerotermes
Micromalthus debilis	Coleoptera	Micromalthidae	None	Micromalthus
Milviscutulus mangiferae	Hemiptera	Coccidae	None	Milviscutulus
Mollitrichosiphum luchuanum	Hemiptera	Aphididae	Greenideinae	Mollitrichosiphum
Mollitrichosiphum montanum	Hemiptera	Aphididae	Greenideinae	Mollitrichosiphum
Mollitrichosiphum nandii	Hemiptera	Aphididae	Greenideinae	Mollitrichosiphum
Mollitrichosiphum nigrofasciatum	Hemiptera	Aphididae	Greenideinae	Mollitrichosiphum
Mollitrichosiphum tenuicorpus	Hemiptera	Aphididae	Greenideinae	Mollitrichosiphum
Mycopsylla fici	Hemiptera	Carsidaridae	Homotominae	Mycopsylla
Myzolecanium endoeucalyptus	Hemiptera	Coccidae	None	Myzolecanium
Nasutitermes ephratae	Blattodea	Termitidae	Nasutitermitinae	Nasutitermes
Nasutitermes longinasus	Blattodea	Termitidae	Nasutitermitinae	Nasutitermes
Nasutitermes octopilis	Blattodea	Termitidae	Nasutitermitinae	Nasutitermes
Nasutitermes similis	Blattodea	Termitidae	Nasutitermitinae	Nasutitermes
Nasutitermes triodiae	Blattodea	Termitidae	Nasutitermitinae	Nasutitermes
Necrodes surinamensis	Coleoptera	Silphidae	Silphinae	Necrodes
Necrophila americana	Coleoptera	Silphidae	Silphinae	Necrophila
Nedyus quadrimaculatus	Coleoptera	Curculionidae	Ceutorhynchinae	Nedyus
Neocapritermes taracua	Blattodea	Termitidae	Termitinae	Neocapritermes
Neopocadius pilistriatus	Coleoptera	Nitidulidae	Nitidulinae	Neopocadius
Neotermes koshunensis	Blattodea	Kalotermitidae	Neotermitinae	Neotermes
Nessaea aglaura	Lepidoptera	Nymphalidae	Biblidinae	Nessaea
Nicrophorus americanus	Coleoptera	Silphidae	Nicrophorinae	Nicrophorus
Nicrophorus marginatus	Coleoptera	Silphidae	Nicrophorinae	Nicrophorus
Nicrophorus orbicollis	Coleoptera	Silphidae	Nicrophorinae	Nicrophorus
Nicrophorus pustulatus	Coleoptera	Silphidae	Nicrophorinae	Nicrophorus
Nicrophorus tomentosus	Coleoptera	Silphidae	Nicrophorinae	Nicrophorus
Ochlerotatus fluviatilis	Diptera	Culicidae	Culicinae	Ochlerotatus
Ochlerotatus scapularis	Diptera	Culicidae	Culicinae	Ochlerotatus
Ochlerotatus serratus	Diptera	Culicidae	Culicinae	Ochlerotatus
Ochlerotatus trivittatus	Diptera	Culicidae	Culicinae	Ochlerotatus
Okanagana oregona	Hemiptera	Cicadidae	Tibicininae	Okanagana
Ooceraea biroi	Hymenoptera	Formicidae	Dorylinae	Ooceraea
Opisthoplatia orientalis	Blattodea	Blaberidae	Epilamprinae	Opisthoplatia
Opsiphanes bogotanus	Lepidoptera	Nymphalidae	Satyrinae	Opsiphanes
Opsiphanes cassina	Lepidoptera	Nymphalidae	Satyrinae	Opsiphanes
Oriensubulitermes inanis	Blattodea	Termitidae	Nasutitermitinae	Oriensubulitermes
Oryzaephilus mercator	Coleoptera	Silvanidae	Silvaninae	Oryzaephilus
Oulema gallaeciana	Coleoptera	Chrysomelidae	Criocerinae	Oulema
Panesthia angustipennis	Blattodea	Blaberidae	Panesthiinae	Panesthia
Paraeuctenodes similis	Diptera	Streblidae	Streblinae	Paraeuctenodes
Parasaissetia nigra	Hemiptera	Coccidae	None	Parasaissetia
Parasphaeria boleiriana	Blattodea	Blaberidae	Zetoborinae	Parasphaeria
Paratrichobius longicrus	Diptera	Streblidae	Trichobiinae	Paratrichobius
Pareuptychia ocirrhoe	Lepidoptera	Nymphalidae	Satyrinae	Pareuptychia
Parrhinotermes microdentiformis	Blattodea	Rhinotermitidae	Rhinotermitinae	Parrhinotermes
Partamona helleri	Hymenoptera	Apidae	Apinae	Partamona
Paryphthimoides terrestris	Lepidoptera	Nymphalidae	Satyrinae	Paryphthimoides
Pericapritermes dolichocephalus	Blattodea	Termitidae	Termitinae	Pericapritermes
Pericapritermes nitobei	Blattodea	Termitidae	Termitinae	Pericapritermes
Phalacrognathus muelleri	Coleoptera	Lucanidae	Lampriminae	Phalacrognathus
Pheidole flavens	Hymenoptera	Formicidae	Myrmicinae	Pheidole
Phoebis argante	Lepidoptera	Pieridae	Coliadinae	Phoebis
Phonapate nitidipennis	Coleoptera	Bostrichidae	Bostrichinae	Phonapate
Phyllobius maculicornis	Coleoptera	Curculionidae	Entiminae	Phyllobius
Phyllobius roboretanus	Coleoptera	Curculionidae	Entiminae	Phyllobius
Phyllocnistis citrella	Lepidoptera	Gracillariidae	Phyllocnistinae	Phyllocnistis
Pierella helvina	Lepidoptera	Nymphalidae	Satyrinae	Pierella
Pierella luna	Lepidoptera	Nymphalidae	Satyrinae	Pierella
Poecilocoris splendidulus	Hemiptera	Scutelleridae	Scutellerinae	Poecilocoris
Polydrusus formosus	Coleoptera	Curculionidae	Entiminae	Polydrusus
Polygraphus poligraphus	Coleoptera	Curculionidae	Scolytinae	Polygraphus
Polypedilum vanderplanki	Diptera	Chironomidae	Chironominae	Polypedilum
Polyphagozerra coffeae	Lepidoptera	Cossidae	Zeuzerinae	Polyphagozerra
Porotermes adamsoni	Blattodea	Termopsidae	Termopsinae	Porotermes
Powellia acuta	Hemiptera	Triozidae	None	Powellia
Powellia bifida	Hemiptera	Triozidae	None	Powellia
Powellia colorata	Hemiptera	Triozidae	None	Powellia
Powellia compressa	Hemiptera	Triozidae	None	Powellia
Powellia dacrydii	Hemiptera	Triozidae	None	Powellia
Powellia decurvata	Hemiptera	Triozidae	None	Powellia
Powellia discariae	Hemiptera	Triozidae	None	Powellia
Powellia doryphora	Hemiptera	Triozidae	None	Powellia
Powellia emarginata	Hemiptera	Triozidae	None	Powellia
Powellia falcata	Hemiptera	Triozidae	None	Powellia
Powellia fasciata	Hemiptera	Triozidae	None	Powellia
Powellia gourlayi	Hemiptera	Triozidae	None	Powellia
Powellia hebicola	Hemiptera	Triozidae	None	Powellia
Powellia irregularis	Hemiptera	Triozidae	None	Powellia
Powellia obscura	Hemiptera	Triozidae	None	Powellia
Powellia panacis	Hemiptera	Triozidae	None	Powellia
Powellia subacuta	Hemiptera	Triozidae	None	Powellia
Powellia subvexa	Hemiptera	Triozidae	None	Powellia
Powellia vitreoradiata	Hemiptera	Triozidae	None	Powellia
Procapritermes setiger	Blattodea	Termitidae	Termitinae	Procapritermes
Prociphilus erigeronensis	Hemiptera	Aphididae	Eriosomatinae	Prociphilus
Prociphilus fraxinifolii	Hemiptera	Aphididae	Eriosomatinae	Prociphilus
Prohamitermes mirabilis	Blattodea	Termitidae	Termitinae	Prohamitermes
Prorhinotermes flavus	Blattodea	Rhinotermitidae	Prorhinoterminae	Prorhinotermes
Pseudodebis zimri	Lepidoptera	Nymphalidae	Satyrinae	Pseudodebis
Pseudomalus auratus	Hymenoptera	Chrysididae	Chrysidinae	Pseudomalus
Pseudomyrmex cubaensis	Hymenoptera	Formicidae	Pseudomyrmecinae	Pseudomyrmex
Pseudomyrmex elongatus	Hymenoptera	Formicidae	Pseudomyrmecinae	Pseudomyrmex
Pseudomyrmex flavicornis	Hymenoptera	Formicidae	Pseudomyrmecinae	Pseudomyrmex
Pseudomyrmex nigrocinctus	Hymenoptera	Formicidae	Pseudomyrmecinae	Pseudomyrmex
Pseudomyrmex nigropilosus	Hymenoptera	Formicidae	Pseudomyrmecinae	Pseudomyrmex
Pseudomyrmex pallidus	Hymenoptera	Formicidae	Pseudomyrmecinae	Pseudomyrmex
Pseudomyrmex seminole	Hymenoptera	Formicidae	Pseudomyrmecinae	Pseudomyrmex
Pseudomyrmex simplex	Hymenoptera	Formicidae	Pseudomyrmecinae	Pseudomyrmex
Pseudomyrmex spinicola	Hymenoptera	Formicidae	Pseudomyrmecinae	Pseudomyrmex
Pseudomyrmex viduus	Hymenoptera	Formicidae	Pseudomyrmecinae	Pseudomyrmex
Psilothrix viridicoeruleus	Coleoptera	Melyridae	Dasytinae	Psilothrix
Psylla apicalis	Hemiptera	Psyllidae	Psyllinae	Psylla
Psylla foersteri	Hemiptera	Psyllidae	Psyllinae	Psylla
Psylla frodobagginsi	Hemiptera	Psyllidae	Psyllinae	Psylla
Psylliodes attenuatus	Coleoptera	Chrysomelidae	Galerucinae	Psylliodes
Psyllopsis fraxini	Hemiptera	Liviidae	None	Psyllopsis
Psyllopsis fraxinicola	Hemiptera	Liviidae	None	Psyllopsis
Pterostichus serripes	Coleoptera	Carabidae	Harpalinae	Pterostichus
Publilia concava	Hemiptera	Membracidae	None	Publilia
Pyrisitia nise	Lepidoptera	Pieridae	Coliadinae	Pyrisitia
Pyrrhocoris sinuaticollis	Hemiptera	Pyrrhocoridae	None	Pyrrhocoris
Pythonides jovianus	Lepidoptera	Hesperiidae	Pyrginae	Pythonides
Reticulitermes amamianus	Blattodea	Rhinotermitidae	Heterotermitinae	Reticulitermes
Reticulitermes miyatakei	Blattodea	Rhinotermitidae	Heterotermitinae	Reticulitermes
Reticulitermes speratus	Blattodea	Rhinotermitidae	Heterotermitinae	Reticulitermes
Reticulitermes yaeyamanus	Blattodea	Rhinotermitidae	Heterotermitinae	Reticulitermes
Rhodnius pallescens	Hemiptera	Reduviidae	Triatominae	Rhodnius
Ruspolia differens	Orthoptera	Tettigoniidae	Conocephalinae	Ruspolia
Sabethes chloropterus	Diptera	Culicidae	Culicinae	Sabethes
Sabethes glaucodaemon	Diptera	Culicidae	Culicinae	Sabethes
Sabethes quasicyaneus	Diptera	Culicidae	Culicinae	Sabethes
Saissetia miranda	Hemiptera	Coccidae	None	Saissetia
Salganea taiwanensis	Blattodea	Blaberidae	Panesthiinae	Salganea
Schedorhinotermes medioobscurus	Blattodea	Rhinotermitidae	Rhinotermitinae	Schedorhinotermes
Schedorhinotermes sarawakensis	Blattodea	Rhinotermitidae	Rhinotermitinae	Schedorhinotermes
Silvanoprus fagi	Coleoptera	Silvanidae	Silvaninae	Silvanoprus
Silvestritermes heyeri	Blattodea	Termitidae	Syntermitinae	Silvestritermes
Silvestritermes minutus	Blattodea	Termitidae	Syntermitinae	Silvestritermes
Sinocapritermes mushae	Blattodea	Termitidae	Termitinae	Sinocapritermes
Sinoxylon anale	Coleoptera	Bostrichidae	Bostrichinae	Sinoxylon
Siproeta epaphus	Lepidoptera	Nymphalidae	Nymphalinae	Siproeta
Sitophilus granarius	Coleoptera	Curculionidae	Dryophthorinae	Sitophilus
Solenopsis substituta	Hymenoptera	Formicidae	Myrmicinae	Solenopsis
Speiseria ambigua	Diptera	Streblidae	Trichobiinae	Speiseria
Stegobium paniceum	Coleoptera	Ptinidae	Anobiinae	Stegobium
Stolotermes victoriensis	Blattodea	Termopsidae	Stolotermitinae	Stolotermes
Stomoxys calcitrans	Diptera	Muscidae	Muscinae	Stomoxys
Strauzia intermedia	Diptera	Tephritidae	Trypetinae	Strauzia
Strauzia longipennis	Diptera	Tephritidae	Trypetinae	Strauzia
Strauzia longitudinalis	Diptera	Tephritidae	Trypetinae	Strauzia
Strauzia vittigera	Diptera	Tephritidae	Trypetinae	Strauzia
Strebla guajiro	Diptera	Streblidae	Streblinae	Strebla
Strebla mirabilis	Diptera	Streblidae	Streblinae	Strebla
Strebla wiedemanni	Diptera	Streblidae	Streblinae	Strebla
Svastra obliqua	Hymenoptera	Apidae	Apinae	Svastra
Svastra petulca	Hymenoptera	Apidae	Apinae	Svastra
Syntermes grandis	Blattodea	Termitidae	Syntermitinae	Syntermes
Taygetis laches	Lepidoptera	Nymphalidae	Satyrinae	Taygetis
Technomyrmex albipes	Hymenoptera	Formicidae	Dolichoderinae	Technomyrmex
Termes comis	Blattodea	Termitidae	Termitinae	Termes
Termes fatalis	Blattodea	Termitidae	Termitinae	Termes
Termes rostratus	Blattodea	Termitidae	Termitinae	Termes
Termitogeton planus	Blattodea	Rhinotermitidae	Termitogetoninae	Termitogeton
Tetragonula iridipennis	Hymenoptera	Apidae	Apinae	Tetragonula
Tetragonula pagdeni	Hymenoptera	Apidae	Apinae	Tetragonula
