ID	Title	Authors	doi	Journal	Publish Time	Species	Symbiont
3076	Microbial colonization promotes model cockroach gut tissue growth and development	Jahnes, BC; Poudel, K; Staats, AM; Sabree, ZL	10.1016/j.jinsphys.2021.104274	JOURNAL OF INSECT PHYSIOLOGY	2021	None	None
3077	Quantitative trait locus analysis of parasitoid counteradaptation to symbiont-conferred resistance	Ulrich, GF; Zemp, N; Vorburger, C; Boulain, H	10.1038/s41437-021-00444-7	HEREDITY	2021	None	None
3078	Metabolomics provide new insights into mechanisms of Wolbachia-induced paternal defects in Drosophila melanogaster	Zhang, HB; Cao, Z; Qiao, JX; Zhong, ZQ; Pan, CC; Liu, C; Zhang, LM; Wang, YF	10.1371/journal.ppat.1009859	PLOS PATHOGENS	2021	None	None
3079	Herbivory enhances legume-rhizobia symbioses function, increasing aboveground allocation of biologically fixed nitrogen, but only in soils without additional nitrate	Thompson, MN; Lamp, WO	10.1007/s11104-021-04999-6	PLANT AND SOIL	2021	None	None
3080	Further evidence of Cretaceous termitophily: Description of new termite hosts of the trichopseniine Cretotrichopsenius (Coleoptera: Staphylinidae), with emendations to the classification of lower termites (Isoptera)	Jiang, RX; Zhang, HR; Eldredge, KT; Song, XB; Li, YD; Tihelka, E; Huang, DY; Wang, S; Engel, MS; Cai, CY	10.11646/palaeoentomology.4.4.13	PALAEOENTOMOLOGY	2021	None	None
3081	Transposon-insertion Sequencing as a Tool to Elucidate Bacterial Colonization Factors in a Burkholderia gladioli Symbiont of Lagria villosa Beetles	Ganesan, R; Kaltenpoth, M; Florez, LV	10.3791/62843	JOVE-JOURNAL OF VISUALIZED EXPERIMENTS	2021	None	None
3082	Microbial Communities Associated with Bentic Invertebrates of Lake Baikal	Chernitsyna, SM; Khalzov, IA; Sitnikova, TY; Naumova, TV; Khabuev, AV; Zemskaya, TI	10.1007/s00284-021-02563-0	CURRENT MICROBIOLOGY	2021	None	None
3083	Weighing the unknowns: Value of Information for biological and operational uncertainty in invasion management	Li, SL; Keller, J; Runge, MC; Shea, K	10.1111/1365-2664.13904	JOURNAL OF APPLIED ECOLOGY	2021	None	None
3084	Disturbance-induced emigration: an overlooked mechanism that reduces metapopulation extinction risk	Mestre, A; Barfield, M; Peniston, JH; Peres-Neto, PR; Mesquita-Joanes, F; Holt, RD	10.1002/ecy.3423	ECOLOGY	2021	None	None
3085	Unraveling mosquito metabolism with mass spectrometry-based metabolomics	Horvath, TD; Dagan, S; Scaraffia, PY	10.1016/j.pt.2021.03.010	TRENDS IN PARASITOLOGY	2021	None	None
3086	Queens of the inquiline social parasite Acromyrmex insinuator can join nest-founding queens of its host, the leaf-cutting ant Acromyrmex echinatior	Howe, J; Schiott, M; Boomsma, JJ	10.1007/s00040-021-00819-3	INSECTES SOCIAUX	2021	None	None
3087	Characterization and phylogenomic analysis of Breznakiella homolactica gen. nov. sp. nov. indicate that termite gut treponemes evolved from non-acetogenic spirochetes in cockroaches	Song, YL; Hervé, V; Radek, R; Pfeiffer, F; Zheng, H; Brune, A	10.1111/1462-2920.15600	ENVIRONMENTAL MICROBIOLOGY	2021	None	None
3088	Methanogenesis in the Digestive Tracts of the Tropical Millipedes Archispirostreptus gigas (Diplopoda, Spirostreptidae and Epibolus pulchripes (Diplopoda, Pachybolidae)	Horváthová, T; Sustr, V; Chronáková, A; Semanová, S; Lang, K; Dietrich, C; Hubácek, T; Ardestani, MM; Lara, AC; Brune, A; Simek, M	10.1128/AEM.00614-21	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	2021	None	None
3089	Indirect plant defenses: volatile organic compounds and extrafloral nectar	Bezerra, RHS; Sousa-Souto, L; Santana, AEG; Ambrogi, BG	10.1007/s11829-021-09837-1	ARTHROPOD-PLANT INTERACTIONS	2021	None	None
3090	Low Virulence of the Fungi Escovopsis and Escovopsioides to a Leaf-Cutting Ant-Fungus Symbiosis	de Mendonca, DMF; Caixeta, MCS; Martins, GL; Moreira, CC; Kloss, TG; Elliot, SL	10.3389/fmicb.2021.673445	FRONTIERS IN MICROBIOLOGY	2021	None	None
3091	Differences in Gut Microbiome Composition Between Sympatric Wild and Allopatric Laboratory Populations of Omnivorous Cockroaches	Tinker, KA; Ottesen, EA	10.3389/fmicb.2021.703785	FRONTIERS IN MICROBIOLOGY	2021	None	None
3092	Horizontal Transmission of the Symbiont Microsporidia MB in Anopheles arabiensis	Nattoh, G; Maina, T; Makhulu, EE; Mbaisi, L; Mararo, E; Otieno, FG; Bukhari, T; Onchuru, TO; Teal, E; Paredes, J; Bargul, JL; Mburu, DM; Onyango, EA; Magoma, G; Sinkins, SP; Herren, JK	10.3389/fmicb.2021.647183	FRONTIERS IN MICROBIOLOGY	2021	None	None
3093	Plantago lanceolata - An overview of its agronomically and healing valuable features	Pol, M; Schmidtke, K; Lewandowska, S	10.1515/opag-2021-0035	OPEN AGRICULTURE	2021	None	None
3094	Microbiome pattern of Lucilia sericata (Meigen) (Diptera: Calliphoridae) and feeding substrate in the presence of the foodborne pathogen Salmonella enterica	Iancu, L; Angelescu, IR; Paun, VI; Henríquez-Castillo, C; Lavin, P; Purcarea, C	10.1038/s41598-021-94761-w	SCIENTIFIC REPORTS	2021	None	None
3095	Taxonomic and phylogenetic characterizations reveal four new species of Simplicillium (Cordycipitaceae, Hypocreales) from Guizhou, China	Chen, WH; Han, YF; Liang, JD; Liang, ZQ	10.1038/s41598-021-94893-z	SCIENTIFIC REPORTS	2021	None	None
3096	A new protein protects a symbiotic relationship COMMENT	Wilson, ACC	10.1073/pnas.2109637118	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2021	None	None
3097	Local intestinal microbiota response and systemic effects of feeding black soldier fly larvae to replace soybean meal in growing pigs	Kar, SK; Schokker, D; Harms, AC; Kruijt, L; Smits, MA; Jansman, AJM	10.1038/s41598-021-94604-8	SCIENTIFIC REPORTS	2021	None	None
3098	Relationship Between the COVID-19 Pandemic and Ecological, Economic, and Social Conditions	Murányi, A; Varga, B	10.3389/fpubh.2021.694191	FRONTIERS IN PUBLIC HEALTH	2021	None	None
3099	Interspecific variation and functional traits of the gut microbiome in spiders from the wild: The largest effort so far	Tyagi, K; Tyagi, I; Kumar, V	10.1371/journal.pone.0251790	PLOS ONE	2021	None	None
3100	Adaptive Variation of Buchnera Endosymbiont Density in Aphid Host Acyrthosiphon pisum Controlled by Environmental Conditions	Neiers, F; Saliou, JM; Briand, L; Robichon, A	10.1021/acsomega.1c01465	ACS OMEGA	2021	None	None
3101	Acid or base? How do plants regulate the ecology of their phylloplane?	Gilbert, KJ; Renner, T	10.1093/aobpla/plab032	AOB PLANTS	2021	None	None
3102	Inhibition of Bemisia tabaci vectored, GroEL mediated transmission of tomato leaf curl New Delhi virus by garlic leaf lectin (Allium sativum leaf agglutinin)	Das, A; Roy, A; Mandal, A; Mondal, HA; Hess, D; Kundu, P; Das, S	10.1016/j.virusres.2021.198443	VIRUS RESEARCH	2021	None	None
3103	A Family of Nonribosomal Peptides Modulate Collective Behavior in Pseudovibrio Bacteria Isolated from Marine Sponges**	Ióca, LP; Dai, YT; Kunakom, S; Diaz-Espinosa, J; Krunic, A; Crnkovic, CM; Orjala, J; Sanchez, LM; Ferreira, AG; Berlinck, RGS; Eustaquio, AS	10.1002/anie.202017320	ANGEWANDTE CHEMIE-INTERNATIONAL EDITION	2021	None	None
3104	Spider Mites Singly Infected With Either Wolbachia or Spiroplasma Have Reduced Thermal Tolerance	Zhu, YX; Song, ZR; Zhang, YY; Hoffmann, AA; Hong, XY	10.3389/fmicb.2021.706321	FRONTIERS IN MICROBIOLOGY	2021	None	None
3105	Sustainable plant-based diets promote rainbow trout gut microbiota richness and do not alter resistance to bacterial infection	Pérez-Pascual, D; Pérez-Cobas, AE; Rigaudeau, D; Rochat, T; Bernardet, JF; Skiba-Cassy, S; Marchand, Y; Duchaud, E; Ghigo, JM	10.1186/s42523-021-00107-2	ANIMAL MICROBIOME	2021	None	None
3106	Efficient PCR Amplification Protocol of Nuclear Microsatellites for Exuviae-Derived DNA of Cicada, Yezoterpnosia nigricosta	Yumoto, K; Kanbe, T; Saito, Y; Kaneko, S; Tsuda, Y	10.3389/finsc.2021.696886	FRONTIERS IN INSECT SCIENCE	2021	None	None
3107	Occurrence data for the two cryptic species of Cacopsylla pruni (Hemiptera: Psylloidea)	Sauvion, N; Peccoud, J; Meynard, CN; Ouvrard, D	10.3897/BDJ.9.e68860	BIODIVERSITY DATA JOURNAL	2021	None	None
3108	Next generation sequencing, insect microbiomes, and the confounding effect of Wolbachia: a case study using spotted-wing drosophila (Drosophila suzukii) (Diptera: Drosophilidae)	Wilches, DM; Coghlin, PC; Floate, KD	10.1139/cjz-2020-0260	CANADIAN JOURNAL OF ZOOLOGY	2021	None	None
3109	Multifaceted interactions between the pseudomonads and insects: mechanisms and prospects	Teoh, MC; Furusawa, G; Singham, GV	10.1007/s00203-021-02230-9	ARCHIVES OF MICROBIOLOGY	2021	None	None
3110	The Effect of Gut Bacteria on the Physiology of Red Palm Weevil, Rhynchophorus ferrugineus Olivier and Their Potential for the Control of This Pest	Liu, QX; Su, ZP; Liu, HH; Lu, SP; Ma, B; Zhao, Y; Hou, YM; Shi, ZH	10.3390/insects12070594	INSECTS	2021	None	None
3111	Alteration of gut microbiota with a broad-spectrum antibiotic does not impair maternal care in the European earwig	Van Meyel, S; Devers, S; Dupont, S; Dedeine, F; Meunier, J	10.1111/jeb.13791	JOURNAL OF EVOLUTIONARY BIOLOGY	2021	None	None
3112	Mechanisms and Evolution of Heritable Microbial Density in Insect Hosts COMMENT	Parker, BJ	10.1128/mSystems.00728-21	MSYSTEMS	2021	None	None
3113	Role of Endocrine System in the Regulation of Female Insect Reproduction	Khalid, MZ; Ahmad, S; Ngegba, PM; Zhong, GH	10.3390/biology10070614	BIOLOGY-BASEL	2021	None	None
3114	Comparison of Gut Bacterial Communities of Grapholita molesta (Lepidoptera: Tortricidae) Reared on Different Host Plants	Yuan, XQ; Zhang, X; Liu, XY; Dong, YL; Yan, ZZ; Lv, DB; Wang, P; Li, YP	10.3390/ijms22136843	INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES	2021	None	None
3115	Seasonal Shifts in Cold Tolerance and the Composition of the Gut Microbiome of Dendroctonus valens LeConte Occur Concurrently	Hou, ZH; Dong, YX; Shi, FM; Xu, YB; Ge, SX; Tao, J; Ren, LL; Zong, SX	10.3390/f12070888	FORESTS	2021	None	None
3116	New insights into the transovarial transmission of the symbiontRickettsiain whiteflies	Shan, HW; Liu, YQ; Luan, JB; Liu, SS	10.1007/s11427-020-1801-7	SCIENCE CHINA-LIFE SCIENCES	2021	None	None
3117	Nutraceutical and Probiotic Approaches to Examine Molecular Interactions of the Amyloid Precursor Protein APP in Drosophila Models of Alzheimer's Disease	Jalali, D; Guevarra, JA; Martinez, L; Hung, L; Vonhoff, FJ	10.3390/ijms22137022	INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES	2021	None	None
3118	Mannose- and Mannobiose-Specific Responses of the Insect-Associated Cellulolytic Bacterium Streptomyces sp. Strain SirexAA-E	Ohashi, K; Hataya, S; Nakata, A; Matsumoto, K; Kato, N; Sato, W; Carlos-Shanley, C; Beebe, ET; Currie, CR; Fox, BG; Takasuka, TE	10.1128/AEM.02719-20	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	2021	None	None
3119	Cytoplasmic incompatibility between Old and New World populations of a tramp ant	Ün, Ç; Schultner, E; Manzano-Marín, A; Flórez, LV; Seifert, B; Heinze, J; Oettler, J	10.1111/evo.14261	EVOLUTION	2021	None	None
3120	Evaluation of sublethal and transgenerational effects of sulfoxaflor on Aphis gossypii via life table parameters and 16S rRNA sequencing	Shang, J; Yao, YS; Zhu, XZ; Wang, L; Li, DY; Zhang, KX; Gao, XK; Wu, CC; Niu, L; Ji, JC; Luo, JY; Cui, JJ	10.1002/ps.6385	PEST MANAGEMENT SCIENCE	2021	None	None
3121	Tackling the Context-Dependency of Microbial-Induced Resistance	Díaz, ASL; Macheda, D; Saha, H; Ploll, U; Orine, D; Biere, A	10.3390/agronomy11071293	AGRONOMY-BASEL	2021	None	None
3122	The Induced Resistance Lexicon: Do's and Don'ts	De Kesel, J; Conrath, U; Flors, V; Luna, E; Mageroy, MH; Mauch-Mani, B; Pastor, V; Pozo, MJ; Pieterse, CMJ; Ton, J; Kyndt, T	10.1016/j.tplants.2021.01.001	TRENDS IN PLANT SCIENCE	2021	None	None
3123	A New Model Trypanosomatid, Novymonas esmeraldas: Genomic Perception of Its "Candidatus Pandoraea novymonadis" Endosymbiont	Zakharova, A; Saura, A; Butenko, A; Podesvova, L; Warmusova, S; Kostygov, AY; Nenarokova, A; Lukes, J; Opperdoes, FR; Yurchenko, V	10.1128/mBio.01606-21	MBIO	2021	None	None
3124	Effect of the Entomopathogenic Fungus Beauveria bassiana on the Development of Faba Bean (Vicia faba) Diseases in the Field Conditions	Ashmarina, LF; Lednev, GR; Tomilova, OG; Sadokhina, TA; Bakshaev, DY; Levchenko, MV; Volkova, NS; Tyurin, MV; Danilov, VP; Glupov, VV	10.1134/S1607672921040013	DOKLADY BIOCHEMISTRY AND BIOPHYSICS	2021	None	None
3125	Antifungal activity of different Xenorhabdus and Photorhabdus species against various fungal phytopathogens and identification of the antifungal compounds from X. szentirmaii	Cimen, H; Touray, M; Gulsen, SH; Erincik, O; Wenski, SL; Bode, HB; Shapiro-Ilan, D; Hazir, S	10.1007/s00253-021-11435-3	APPLIED MICROBIOLOGY AND BIOTECHNOLOGY	2021	None	None
3126	Evolutionary developmental biology and sustainability: A biology of resilience	Gilbert, SF	10.1111/ede.12366	EVOLUTION & DEVELOPMENT	2021	None	None
3127	Biocontrol potential and mode of action of entomopathogenic bacteria Xenorhabdus budapestensis C72 against Bipolaris maydis	Li, B; Kong, LX; Qiu, DW; Francis, F; Wang, SC	10.1016/j.biocontrol.2021.104605	BIOLOGICAL CONTROL	2021	None	None
3128	Effects of Root-Colonizing Fluorescent Pseudomonas Strains on Arabidopsis Resistance to a Pathogen and an Herbivore	Löser, TB; Mescher, MC; De Moraes, CM; Maurhofer, M	10.1128/AEM.02831-20	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	2021	None	None
3129	We and herbivores eat endophytes	Martínez-Romero, E; Aguirre-Noyola, JL; Bustamante-Brito, R; González-Román, P; Hernández-Oaxaca, D; Higareda-Alvear, V; Montes-Carreto, LM; Martínez-Romero, JC; Rosenblueth, M; Servín-Garcidueñas, LE	10.1111/1751-7915.13688	MICROBIAL BIOTECHNOLOGY	2021	None	None
3130	The impact of artificial selection for Wolbachia-mediated dengue virus blocking on phage WO	Dutra, HLC; Ford, SA; Allen, SL; Bordenstein, SR; Chenoweth, SF; Bordenstein, SR; McGraw, EA	10.1371/journal.pntd.0009637	PLOS NEGLECTED TROPICAL DISEASES	2021	None	None
3131	Effectiveness of Wolbachia-infected mosquito deployments in reducing the incidence of dengue and other Aedes-borne diseases in Niteroi, Brazil: A quasi-experimental study	Pinto, SB; Riback, TIS; Sylvestre, G; Costa, G; Peixoto, J; Dias, FBS; Tanamas, SK; Simmons, CP; Dufault, SM; Ryan, PA; O'Neill, SL; Muzzi, FC; Kutcher, S; Montgomery, J; Green, BR; Smithyman, R; Eppinghaus, A; Saraceni, V; Durovni, B; Anders, KL; Moreira, LA	10.1371/journal.pntd.0009556	PLOS NEGLECTED TROPICAL DISEASES	2021	None	None
3132	Alternative Transmission Patterns in Independently Acquired Nutritional Cosymbionts of Dictyopharidae Planthoppers	Michalik, A; Franco, DC; Kobialka, M; Szklarzewicz, T; Stroinski, A; Lukasik, P	10.1128/mBio.01228-21	MBIO	2021	None	None
3133	Phylogeny of true ladybird beetles (Coccinellidae: Coccinellini) reveals pervasive convergent evolution and a rapid Cenozoic radiation	Tomaszewska, W; Escalona, HE; Hartley, D; Li, JH; Wang, XM; Li, HS; Pang, H; Slipinski, A; Zwick, A	10.1111/syen.12479	SYSTEMATIC ENTOMOLOGY	2021	None	None
3134	Atopic Dermatitis in Domestic Animals: What Our Current Understanding Is and How This Applies to Clinical Practice	Marsella, R	10.3390/vetsci8070124	VETERINARY SCIENCES	2021	None	None
3135	Insight Into the Role of PGPR in Sustainable Agriculture and Environment	Mohanty, P; Singh, PK; Chakraborty, D; Mishra, S; Pattnaik, R	10.3389/fsufs.2021.667150	FRONTIERS IN SUSTAINABLE FOOD SYSTEMS	2021	None	None
3136	Orchid Reintroduction Based on Seed Germination-Promoting Mycorrhizal Fungi Derived From Protocorms or Seedlings	Zhao, DK; Selosse, MA; Wu, LM; Luo, Y; Shao, SC; Ruan, YL	10.3389/fpls.2021.701152	FRONTIERS IN PLANT SCIENCE	2021	None	None
3137	At the Gate of Mutualism: Identification of Genomic Traits Predisposing to Insect-Bacterial Symbiosis in Pathogenic Strains of the Aphid Symbiont Serratia symbiotica	Renoz, F; Foray, V; Ambroise, J; Baa-Puyoulet, P; Bearzatto, B; Mendez, GL; Grigorescu, AS; Mahillon, J; Mardulyn, P; Gala, JL; Calevro, F; Hance, T	10.3389/fcimb.2021.660007	FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY	2021	None	None
3138	Assessing Biosynthetic Gene Cluster Diversity of Specialized Metabolites in the Conserved Gut Symbionts of Herbivorous Turtle Ants	Chanson, A; Moreau, CS; Duplais, C	10.3389/fmicb.2021.678100	FRONTIERS IN MICROBIOLOGY	2021	None	None
3139	ORFograph: search for novel insecticidal protein genes in genomic and metagenomic assembly graphs	Dvorkina, T; Bankevich, A; Sorokin, A; Yang, F; Adu-Oppong, B; Williams, R; Turner, K; Pevzner, PA	10.1186/s40168-021-01092-z	MICROBIOME	2021	None	None
3140	Genome reduction and relaxed selection is associated with the transition to symbiosis in the basidiomycete genus Podaxis	Conlon, BH; Gostincar, C; Fricke, J; Kreuzenbeck, NB; Daniel, JM; Schlosser, MSL; Peereboom, N; Aanen, DK; de Beer, ZW; Beemelmanns, C; Gunde-Cimerman, N; Poulsen, M	10.1016/j.isci.2021.102680	ISCIENCE	2021	None	None
3141	Host Phylogeny and Diet Shape Gut Microbial Communities Within Bamboo-Feeding Insects	Huang, KG; Wang, J; Huang, JH; Zhang, SK; Vogler, AP; Liu, QQ; Li, YC; Yang, MW; Li, Y; Zhou, XG	10.3389/fmicb.2021.633075	FRONTIERS IN MICROBIOLOGY	2021	None	None
3142	Mycorrhizal symbiosis primes the accumulation of antiherbivore compounds and enhances herbivore mortality in tomato	Rivero, J; Lidoy, J; Llopis-Giménez, A; Herrero, S; Flors, V; Pozo, MJ	10.1093/jxb/erab171	JOURNAL OF EXPERIMENTAL BOTANY	2021	None	None
3143	Host's guardian protein counters degenerative symbiont evolution	Koga, R; Tanahashi, M; Nikoh, N; Hosokawa, T; Meng, XY; Moriyama, M; Fukatsu, T	10.1073/pnas.2103957118	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2021	None	None
3144	A transgenic female killing system for the genetic control of Drosophila suzukii	Schetelig, MF; Schwirz, J; Yan, Y	10.1038/s41598-021-91938-1	SCIENTIFIC REPORTS	2021	None	None
3145	Gut Bacteria Associated With Monochamus saltuarius (Coleoptera: Cerambycidae) and Their Possible Roles in Host Plant Adaptations	Ge, SX; Shi, FM; Pei, JH; Hou, ZH; Zong, SX; Ren, LL	10.3389/fmicb.2021.687211	FRONTIERS IN MICROBIOLOGY	2021	None	None
3146	Effect of Cardinium Infection on the Probing Behavior of Bemisia tabaci (Hemiptera: Aleyrodidae) MED	Liu, Y; Liu, BM; Li, HR; Ding, TB; Tao, YL; Chu, D	10.1093/jisesa/ieab040	JOURNAL OF INSECT SCIENCE	2021	None	None
3147	Effects and Mechanisms of Symbiotic Microbial Combination Agents to Control Tomato Fusarium Crown and Root Rot Disease	Cai, XY; Zhao, HH; Liang, C; Li, M; Liu, RJ	10.3389/fmicb.2021.629793	FRONTIERS IN MICROBIOLOGY	2021	None	None
3148	Ecological Divergence Within the Enterobacterial Genus Sodalis: From Insect Symbionts to Inhabitants of Decomposing Deadwood	Tláskal, V; Pylro, VS; Zifcáková, L; Baldrian, P	10.3389/fmicb.2021.668644	FRONTIERS IN MICROBIOLOGY	2021	None	None
3149	Temperature Differentially Influences the Capacity of Trichoderma Species to Induce Plant Defense Responses in Tomato Against Insect Pests	Di Lelio, I; Coppola, M; Comite, E; Molisso, D; Lorito, M; Woo, SL; Pennacchio, F; Rao, RS; Digilio, MC	10.3389/fpls.2021.678830	FRONTIERS IN PLANT SCIENCE	2021	None	None
3150	Characterization of Bacterial Community Dynamics of the Human Mouth Throughout Decomposition via Metagenomic, Metatranscriptomic, and Culturing Techniques	Ashe, EC; Comeau, AM; Zejdlik, K; O'Connell, SP	10.3389/fmicb.2021.689493	FRONTIERS IN MICROBIOLOGY	2021	None	None
3151	Fungal Interactions and Host Tree Preferences in the Spruce Bark Beetle Ips typographus	Tanin, SM; Kandasamy, D; Krokene, P	10.3389/fmicb.2021.695167	FRONTIERS IN MICROBIOLOGY	2021	None	None
3152	Elucidation of the whole carotenoid biosynthetic pathway of aphids at the gene level and arthropodal food chain involving aphids and the red dragonfly	Takemura, M; Maoka, T; Koyanagi, T; Kawase, N; Nishida, R; Tsuchida, T; Hironaka, M; Ueda, T; Misawa, N	10.1186/s40850-021-00082-w	BMC ZOOLOGY	2021	None	None
3153	Variation of gut microbiota caused by an imbalance diet is detrimental to bugs' survival	Luo, J; Cheng, YX; Guo, LB; Wang, AL; Lu, M; Xu, LT	10.1016/j.scitotenv.2020.144880	SCIENCE OF THE TOTAL ENVIRONMENT	2021	None	None
3154	Trees and Insects Have Microbiomes: Consequences for Forest Health and Management	Corinne, V; Bastien, C; Emmanuelle, J; Heidy, S	10.1007/s40725-021-00136-9	CURRENT FORESTRY REPORTS	2021	None	None
3155	Microbiomes of willow-galling sawflies: effects of host plant, gall type, and phylogeny on community structure and function	Michell, CT; Nyman, T	10.1139/gen-2020-0018	GENOME	2021	None	None
3156	Influential Insider: Wolbachia, an Intracellular Symbiont, Manipulates Bacterial Diversity in Its Insect Host	Ourry, M; Crosland, A; Lopez, V; Derocles, SAP; Mougel, C; Cortesero, AM; Poinsot, D	10.3390/microorganisms9061313	MICROORGANISMS	2021	None	None
3157	Stably inherited transfer of the bacterial symbiont Candidatus Erwinia dacicola from wild olive fruit flies Bactrocera oleae to a laboratory strain	Livadaras, I; Koidou, V; Pitsili, E; Moustaka, J; Vontas, J; Siden-Kiamos, I	10.1017/S0007485321000031	BULLETIN OF ENTOMOLOGICAL RESEARCH	2021	None	None
3158	The localization of phytohormones within the gall-inducing insect Eurosta solidaginis (Diptera: Tephritidae)	Ponce, GE; Fuse, M; Chan, A; Connor, EF	10.1007/s11829-021-09817-5	ARTHROPOD-PLANT INTERACTIONS	2021	None	None
3159	Tissue-specific reprogramming of host tRNA transcriptome by the microbiome	Huang, J; Chen, WJ; Zhou, F; Pang, ZC; Wang, LL; Pan, T; Wang, XY	10.1101/gr.272153.120	GENOME RESEARCH	2021	None	None
3160	How the 'kitome' influences the characterization of bacterial communities in lepidopteran samples with low bacterial biomass	Voirol, LRP; Valsamakis, G; Yu, M; Johnston, PR; Hilker, M	10.1111/jam.14919	JOURNAL OF APPLIED MICROBIOLOGY	2021	None	None
3161	Antibiotics increased host insecticide susceptibility via collapsed bacterial symbionts reducing detoxification metabolism in the brown planthopper, Nilaparvata lugens	Tang, T; Zhang, YH; Cai, TW; Deng, XQ; Liu, CY; Li, JM; He, S; Li, JH; Wan, H	10.1007/s10340-020-01294-8	JOURNAL OF PEST SCIENCE	2021	None	None
3162	Microbiota Profile of Melanaphis sacchari: A Destructive Pest of Sorghum bicolor	Gómez-Govea, MA; Bravo-Acosta, AM; Ramírez-Ahuja, MD; Villanueva-Segura, OK; Ruiz-Aymá, G; Guzmán-Velasco, A; González-Rojas, JI; Martínez-Fierro, M; Enciso, ID; Ramírez-Valles, EG; Martínez-Dávila, JA; Cruz-Fierro, N; Trujillo-Murillo, KD; Ponce-García, G; Flores-Suárez, AE; Rodríguez-Sánchez, IP	10.3958/059.046.0208	SOUTHWESTERN ENTOMOLOGIST	2021	None	None
3163	Epiphytic Strains of Pseudomonas syringae Kill Diverse Aphid Species	Smee, MR; Real-Ramirez, I; Arias, CZ; Hendry, TA	10.1128/AEM.00017-21	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	2021	None	None
3164	Endosymbiont load, personality and reproductive output of maize weevils (Sitophilus zeamais)	Vieira, JL; Guedes, RNC	10.1007/s10340-020-01287-7	JOURNAL OF PEST SCIENCE	2021	None	None
3165	Filamentous Fungi and Yeasts Associated with Mites Phoretic on Ips typographus in Eastern Finland	Linnakoski, R; Lasarov, I; Veteli, P; Tikkanen, OP; Viiri, H; Jyske, T; Kasanen, R; Duong, TA; Wingfield, MJ	10.3390/f12060743	FORESTS	2021	None	None
3166	Benefits and costs of hosting facultative symbionts in plant-sucking insects: A meta-analysis	Zytynska, SE; Tighiouart, K; Frago, E	10.1111/mec.15897	MOLECULAR ECOLOGY	2021	None	None
3167	Mosquito and bacterial diversity in Phytotelmata in northern Taiwan	Shelomi, M; Lin, CT	10.1007/s42690-020-00278-6	INTERNATIONAL JOURNAL OF TROPICAL INSECT SCIENCE	2021	None	None
3168	Tripartite parasitic and symbiotic interactions as a possible mechanism of horizontal gene transfer	Zhao, CY; Miao, SM; Yin, YF; Zhu, YJ; Nabity, P; Bansal, R; Liu, CX	10.1002/ece3.7550	ECOLOGY AND EVOLUTION	2021	None	None
3169	Genetic and molecular understanding of host rice resistance and Nilaparvata lugens adaptation	Zheng, XH; Zhu, LL; He, GC	10.1016/j.cois.2020.11.005	CURRENT OPINION IN INSECT SCIENCE	2021	None	None
3170	Processed Animal Proteins from Insect and Poultry By-Products in a Fish Meal-Free Diet for Rainbow Trout: Impact on Intestinal Microbiota and Inflammatory Markers	Gaudioso, G; Marzorati, G; Faccenda, F; Weil, T; Lunelli, F; Cardinaletti, G; Marino, G; Olivotto, I; Parisi, G; Tibaldi, E; Tuohy, KM; Fava, F	10.3390/ijms22115454	INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES	2021	None	None
3171	Tree diversity and functional leaf traits drive herbivore-associated microbiomes in subtropical China	Li, Y; Chesters, D; Wang, MQ; Wubet, T; Schuldt, A; Anttonen, P; Guo, PF; Chen, JT; Zhou, QS; Zhang, NL; Ma, KP; Bruelheide, H; Wu, CS; Zhu, CD	10.1002/ece3.7434	ECOLOGY AND EVOLUTION	2021	None	None
3172	The need for a coordinated action to elucidate ecological occurrence and functions of endophytic fungal communities	Nicoletti, R; Vinale, F	10.2478/fhort-2021-0003	FOLIA HORTICULTURAE	2021	None	None
3173	Insight into different host range of three planthoppers by transcriptomic and microbiomic analysis	Yan, XT; Ye, ZX; Wang, X; Zhang, CX; Chen, JP; Li, JM; Huang, HJ	10.1111/imb.12695	INSECT MOLECULAR BIOLOGY	2021	None	None
3174	Enhanced Biogas Production by Ligninolytic Strain Enterobacter hormaechei KA3 for Anaerobic Digestion of Corn Straw	Zhang, Q; Zhang, J; Zhao, S; Song, PZ; Chen, YL; Liu, P; Mao, CL; Li, XK	10.3390/en14112990	ENERGIES	2021	None	None
3175	Pantothenate mediates the coordination of whitefly and symbiont fitness	Ren, FR; Sun, X; Wang, TY; Yan, JY; Yao, YL; Li, CQ; Luan, JB	10.1038/s41396-020-00877-8	ISME JOURNAL	2021	None	None
3176	A Novel Nitrogen and Carbon Metabolism Regulatory Cascade Is Implicated in Entomopathogenicity of the Fungus Metarhizium robertsii	Meng, YM; Zhang, X; Tang, D; Chen, XX; Zhang, D; Chen, J; Fang, WG	10.1128/mSystems.00499-21	MSYSTEMS	2021	None	None
